Time	gauge_0	gauge_1	gauge_2
-1	7	20	14
-2	0	0	0
-3	0	0	0
15.0105	-1e+15	0.00903882	0.000991166
15.0191	-1e+15	0.0080373	0.00131818
15.0287	-1e+15	0.00699565	0.00176778
15.0387	-1e+15	0.00595873	0.00235071
15.0495	-1e+15	0.00492159	0.00316456
15.0602	-1e+15	0.00394454	0.00443049
15.0702	-1e+15	0.00309653	0.00589904
15.0802	-1e+15	0.0023363	0.00751651
15.0902	5.98459e-07	0.00177032	0.00923216
15.1002	7.958e-07	0.00135317	0.0110158
15.1102	1.15295e-06	0.00104393	0.0128385
15.1191	1.24355e-06	0.000830013	0.0145069
15.1281	1.58461e-06	0.000658627	0.0162158
15.1371	2.01373e-06	0.000518915	0.0179774
15.1461	2.51858e-06	0.000403697	0.0197743
15.1551	1.76786e-06	0.000310905	0.0216045
15.1641	-1e+15	0.000236017	0.0234695
15.173	-1e+15	0.000175409	0.0253528
15.182	4.15745e-06	0.000129688	0.0272523
15.191	2.3087e-05	9.59869e-05	0.0291552
15.2	5.246e-05	7.12343e-05	0.0310487
15.2095	9.25225e-05	5.20819e-05	0.0330404
15.219	0.00013604	3.822e-05	0.0350045
15.2281	0.000179597	2.86135e-05	0.0368483
15.2371	0.000239308	2.15358e-05	0.0386774
15.2462	0.00036271	1.63031e-05	0.0404783
15.2552	0.000555293	1.24207e-05	0.0422423
15.2643	0.000830929	9.52686e-06	0.0439536
15.2733	0.00117336	7.36162e-06	0.0456107
15.2824	0.00156071	5.73414e-06	0.0472125
15.2914	0.00196702	4.50415e-06	0.0487594
15.3005	0.00241258	3.56925e-06	0.0502485
15.3095	0.00295588	2.85382e-06	0.0516672
15.3186	0.00371831	2.30176e-06	0.0530049
15.3276	0.00466248	1.87251e-06	0.0542522
15.3367	0.00573054	1.53634e-06	0.0554079
15.3457	0.00687244	1.2708e-06	0.0564709
15.3548	0.00806795	1.05914e-06	0.0574379
15.3623	0.00911139	9.12557e-07	0.0581649
15.3698	0.0102321	7.89951e-07	0.058823
15.3774	0.0114547	6.86924e-07	0.059413
15.3849	0.0127528	5.99792e-07	0.0599212
15.3925	0.0140983	-1e+15	0.0603384
15.4	0.0154742	-1e+15	0.0606561
15.4083	0.0170307	-1e+15	0.0609044
15.417	0.0186858	-1e+15	0.0610759
15.4258	0.0203615	-1e+15	0.0611652
15.4345	0.0220404	-1e+15	0.0611665
15.4432	0.0237228	-1e+15	0.0610749
15.4519	0.0254095	-1e+15	0.0608674
15.4606	0.027115	-1e+15	0.0605418
15.4693	0.0288267	-1e+15	0.0601093
15.478	0.0305357	-1e+15	0.059578
15.4867	0.0322196	-1e+15	0.058954
15.4955	0.033889	-1e+15	0.0582419
15.5042	0.0355478	-1e+15	0.0574457
15.5129	0.0372098	-1e+15	0.0565685
15.5216	0.0388594	-1e+15	0.0556139
15.5303	0.0404827	-1e+15	0.0545858
15.539	0.0420565	-1e+15	0.0534888
15.5477	0.0435871	-1e+15	0.0523273
15.5564	0.0450823	-1e+15	0.0511086
15.5652	0.0465451	-1e+15	0.0498366
15.5739	0.0479841	-1e+15	0.0485226
15.5826	0.0493794	-1e+15	0.0471708
15.5913	0.0507135	-1e+15	0.0457857
15.6	0.0519742	-1e+15	0.0443628
15.6087	0.0531623	-1e+15	0.0429045
15.6174	0.0542819	-1e+15	0.0414106
15.6261	0.0553311	-1e+15	0.039891
15.6348	0.0563039	-1e+15	0.0383592
15.6435	0.057199	-1e+15	0.0368222
15.6522	0.0580168	-1e+15	0.0352787
15.6609	0.0587577	-1e+15	0.0337214
15.6696	0.0594195	-1e+15	0.0321546
15.6783	0.0599815	-1e+15	0.0305834
15.687	0.0604345	-1e+15	0.0290215
15.6957	0.0607682	-1e+15	0.0274798
15.7037	0.0609861	-1e+15	0.0260807
15.7124	0.0611382	-1e+15	0.0245739
15.7204	0.0612106	-1e+15	0.0232277
15.7284	0.0612049	-1e+15	0.0219012
15.7363	0.0611127	-1e+15	0.0205939
15.7443	0.0609277	-1e+15	0.0193146
15.7522	0.060656	-1e+15	0.0180638
15.7602	0.0603104	-1e+15	0.0168363
15.7682	0.0598887	-1e+15	0.0156234
15.7761	0.0593859	-1e+15	0.0144167
15.7841	0.0588035	-1e+15	0.0132085
15.792	0.0581486	-1e+15	0.0120001
15.8	0.0574226	-1e+15	0.0107951
15.8087	0.0565485	-1e+15	0.00949024
15.8174	0.0555929	-1e+15	0.00824678
15.8261	0.0545549	-1e+15	0.00707773
15.8348	0.0534365	-1e+15	0.00598481
15.8435	0.0522358	-1e+15	0.0049658
15.8522	0.0509712	-1e+15	0.00401415
15.8609	0.0496578	-1e+15	0.00313676
15.8696	0.0483031	-1e+15	0.00236122
15.8783	0.0469065	-1e+15	0.00177952
15.887	0.0454558	-1e+15	0.00135221
15.8957	0.0439469	-1e+15	0.00103725
15.9043	0.0423902	-1e+15	0.000800073
15.913	0.0408114	-1e+15	0.000616774
15.9217	0.0392225	-1e+15	0.000471255
15.9304	0.0376272	-1e+15	0.000357033
15.9391	0.0360058	-1e+15	0.000267361
15.9478	0.0343482	-1e+15	0.000196056
15.9565	0.0326634	-1e+15	0.000142838
15.9652	0.0309761	-1e+15	0.000104187
15.9739	0.0292983	-1e+15	7.62657e-05
15.9826	0.0276327	6.28269e-07	5.60755e-05
15.9913	0.0259611	7.89566e-07	4.14384e-05
16	0.0242749	9.89284e-07	3.07938e-05
16.0087	0.0225808	1.23717e-06	2.30335e-05
16.0178	0.0208181	1.7283e-06	1.71066e-05
16.0269	0.0190758	3.41069e-06	1.28237e-05
16.0356	0.0174456	6.50733e-06	9.8564e-06
16.0447	0.015761	1.19283e-05	7.53115e-06
16.0538	0.0140944	2.05474e-05	5.8154e-06
16.0624	0.0125499	3.20424e-05	4.6093e-06
16.0716	0.0109652	4.86434e-05	3.62821e-06
16.0802	0.00960975	6.7576e-05	2.9314e-06
16.0887	0.00837642	9.09231e-05	2.38718e-06
16.0973	0.00725196	0.000118926	1.9579e-06
16.1058	0.0061975	0.000152333	1.61691e-06
16.1144	0.00518521	0.000195069	1.34406e-06
16.123	0.00422324	0.000249666	1.12415e-06
16.1315	0.00335249	0.000313838	9.45537e-07
16.1401	0.00268334	0.000389312	7.99504e-07
16.1486	0.00216753	0.00048048	6.79412e-07
16.1572	0.00175847	0.000618447	5.80049e-07
16.1658	0.00141623	0.000805586	-1e+15
16.1743	0.00111565	0.00104191	-1e+15
16.1829	0.00083876	0.00132529	-1e+15
16.1914	0.000583482	0.0016555	-1e+15
16.2	0.000366584	0.00202684	-1e+15
16.2091	0.000216553	0.00247679	-1e+15
16.2182	0.000128112	0.00302157	-1e+15
16.2268	7.74132e-05	0.00375375	-1e+15
16.2355	4.62215e-05	0.00465757	-1e+15
16.2442	2.73647e-05	0.00568611	-1e+15
16.2528	1.6211e-05	0.00680153	-1e+15
16.2615	9.63292e-06	0.00797046	-1e+15
16.2701	5.76771e-06	0.00917289	-1e+15
16.2788	3.49696e-06	0.0104045	-1e+15
16.2874	2.16254e-06	0.0116584	-1e+15
16.2961	1.37055e-06	0.0129264	-1e+15
16.3048	8.879e-07	0.014211	-1e+15
16.3134	5.87022e-07	0.015513	-1e+15
16.3221	-1e+15	0.0168393	-1e+15
16.3307	-1e+15	0.0181982	-1e+15
16.3394	-1e+15	0.0195915	-1e+15
16.3481	-1e+15	0.0210167	-1e+15
16.3567	-1e+15	0.0224753	-1e+15
16.3654	-1e+15	0.0239533	-1e+15
16.374	-1e+15	0.0254423	-1e+15
16.3827	-1e+15	0.0269377	-1e+15
16.3913	-1e+15	0.0284385	-1e+15
16.4	-1e+15	0.0299436	-1e+15
16.4091	-1e+15	0.0315194	-1e+15
16.4178	-1e+15	0.0330137	-1e+15
16.4269	-1e+15	0.0345626	-1e+15
16.436	-1e+15	0.0360918	-1e+15
16.4446	-1e+15	0.0375209	-1e+15
16.4538	-1e+15	0.039015	-1e+15
16.4629	-1e+15	0.0404835	-1e+15
16.4715	-1e+15	0.0418292	-1e+15
16.4807	-1e+15	0.0432287	-1e+15
16.4898	-1e+15	0.0445785	-1e+15
16.499	-1e+15	0.0458764	-1e+15
16.5082	-1e+15	0.0471208	-1e+15
16.5174	-1e+15	0.048309	-1e+15
