Time	gauge_0
-1	10
-2	0
-3	0
5.01111	0.00560275
5.0237	0.00580962
5.03726	0.00604172
5.05206	0.0063041
5.06551	0.00655034
5.08045	0.00683092
5.09373	0.00708617
5.10702	0.00734598
5.1203	0.00760961
5.13358	0.00787635
5.14687	0.00814544
5.16015	0.00841613
5.17343	0.00868765
5.18672	0.00895919
5.2	0.00922997
5.21429	0.00951941
5.22857	0.00980612
5.24286	0.0100893
5.25714	0.0103685
5.27143	0.0106432
5.28571	0.0109129
5.3	0.0111761
5.31429	0.0114311
5.32857	0.0116762
5.34286	0.0119097
5.35714	0.0121297
5.37143	0.0123348
5.38571	0.0125231
5.4	0.0126934
5.41429	0.0128439
5.42857	0.0129736
5.44286	0.013081
5.45714	0.0131651
5.47143	0.0132249
5.48571	0.0132605
5.5	0.0132718
5.51429	0.013258
5.52857	0.0132188
5.54286	0.0131511
5.55714	0.0130539
5.57143	0.0129273
5.58571	0.0127716
5.6	0.0125867
5.61429	0.0123729
5.62976	0.0121105
5.64524	0.0118154
5.66071	0.0114884
5.67619	0.0111311
5.69167	0.0107455
5.70714	0.0103355
5.72262	0.00990524
5.7381	0.00945946
5.75357	0.0090026
5.76905	0.00853891
5.78452	0.00807085
5.8	0.00760036
5.81538	0.00713202
5.83077	0.00666437
5.84615	0.0061987
5.86154	0.00573604
5.87692	0.00527757
5.89231	0.00482457
5.90769	0.00437833
5.92308	0.00394072
5.93846	0.00352157
5.95385	0.00312608
5.96923	0.00277053
5.98462	0.00245445
6	0.00217363
6.01538	0.00192338
6.03077	0.00169915
6.04615	0.00149706
6.06154	0.00131389
6.07538	0.00116361
6.08923	0.00102491
6.10308	0.000896578
6.11692	0.000777697
6.13077	0.00066755
6.14462	0.000567101
6.15846	0.00047684
6.17231	0.000398516
6.18615	0.000333387
6.2	0.00027955
6.21429	0.000233854
6.22857	0.000196559
6.24286	0.000166152
6.25714	0.000141352
6.27143	0.000121104
6.28571	0.000104542
6.3	9.09722e-05
6.31429	7.98355e-05
6.32857	7.0688e-05
6.34286	6.31751e-05
6.35714	5.70131e-05
6.37143	5.19746e-05
6.38095	4.92288e-05
6.39048	4.68472e-05
6.4	4.47936e-05
6.41053	4.28553e-05
6.42167	4.11559e-05
6.43356	3.97088e-05
6.44466	3.86882e-05
6.45575	3.7956e-05
6.46685	3.75049e-05
6.47794	3.73924e-05
6.48904	3.76288e-05
6.49913	3.82809e-05
6.50921	3.94386e-05
6.5193	4.1131e-05
6.52939	4.34213e-05
6.53948	4.64051e-05
6.54956	5.01373e-05
6.55965	5.46896e-05
6.56974	6.01578e-05
6.57983	6.66542e-05
6.58991	7.43054e-05
6.6	8.32533e-05
6.61111	9.46822e-05
6.6216	0.000107365
6.6321	0.000122038
6.64259	0.000138946
6.65309	0.000158498
6.66358	0.000180893
6.67407	0.000206512
6.68457	0.000235935
6.69506	0.00026938
6.70556	0.000307318
6.71605	0.000350284
6.72654	0.000398955
6.73704	0.000457317
6.74753	0.000528333
6.75628	0.00059945
6.76502	0.00068741
6.77377	0.000793822
6.78251	0.000919486
6.79126	0.00106486
6.8	0.00123019
6.80952	0.0014326
6.82011	0.00168467
6.83135	0.00198453
6.84189	0.00229741
6.85243	0.00264158
6.86297	0.00302301
6.87351	0.00345458
6.88405	0.00393741
6.89371	0.00444465
6.90434	0.00507734
6.91497	0.00578292
6.9256	0.00655173
6.9349	0.00727063
6.9442	0.00802619
6.9535	0.00881502
6.9628	0.00963927
6.9721	0.0104993
6.9814	0.0113916
6.9907	0.0123233
7	0.0132933
7.01	0.0143694
7.02	0.0154705
7.03	0.0165875
7.04	0.0177146
7.05	0.0188468
7.06071	0.0200614
7.07066	0.0211853
7.08061	0.0223025
7.09056	0.0234092
7.10051	0.0245012
7.11046	0.025574
7.12041	0.0266245
7.13036	0.0276501
7.14031	0.028648
7.15026	0.0296153
7.1602	0.0305492
7.17015	0.0314469
7.1801	0.0323059
7.19005	0.0331236
7.2	0.0338972
7.21053	0.0346662
7.22105	0.0353813
7.23099	0.0360042
7.24094	0.0365752
7.25154	0.037127
7.26214	0.037617
7.27275	0.0380431
7.28254	0.0383759
7.29233	0.0386505
7.30211	0.0388674
7.3119	0.0390268
7.32169	0.0391281
7.33148	0.0391691
7.34127	0.0391548
7.35106	0.0390868
7.36085	0.0389584
7.37063	0.0387653
7.38042	0.0385096
7.39021	0.0381939
7.4	0.0378201
7.41053	0.0373571
7.42105	0.0368314
7.43158	0.0362451
7.44211	0.0356008
7.45263	0.0349008
7.46316	0.0341474
7.47368	0.0333432
7.48421	0.032491
7.49474	0.0315944
7.50526	0.0306572
7.51579	0.0296832
7.52632	0.0286765
7.53684	0.0276402
7.54737	0.0265766
7.55789	0.025487
7.56842	0.0243735
7.57895	0.0232388
7.58947	0.0220861
7.6	0.0209193
7.61053	0.0197455
7.62105	0.0185692
7.63158	0.0173962
7.64211	0.0162335
7.65263	0.0150835
7.66316	0.0139483
7.67368	0.0128302
7.68421	0.0117347
7.69474	0.0106742
7.70526	0.00965335
7.71474	0.00878101
7.72421	0.00796438
7.73368	0.00719898
7.74316	0.00647941
7.75263	0.00580074
7.76211	0.00515925
7.77158	0.00455257
7.78105	0.00398909
7.79053	0.00347108
7.8	0.00299555
7.81	0.00256121
7.82	0.00219293
7.83	0.00187936
7.84	0.00160931
7.85	0.00137367
7.86	0.00116555
7.87	0.000979898
7.87929	0.000825059
7.88935	0.000674091
7.89857	0.000553182
7.90779	0.000446296
7.91701	0.00035541
7.92623	0.000282706
7.93545	0.000225059
7.94467	0.000179559
7.95389	0.00014368
7.96312	0.000115376
7.97234	9.3022e-05
7.98156	7.53336e-05
7.99078	6.12999e-05
8	5.01383e-05
8.00952	4.09554e-05
8.01905	3.36605e-05
8.02857	2.78427e-05
8.0381	2.31825e-05
8.04709	1.96322e-05
8.05665	1.65521e-05
8.06561	1.42012e-05
8.07457	1.22569e-05
8.08353	1.0641e-05
8.09249	9.29109e-06
8.10144	8.1566e-06
8.1104	7.1975e-06
8.11936	6.38215e-06
8.12832	5.6855e-06
8.13728	5.08738e-06
8.14624	4.57149e-06
8.1552	4.12483e-06
8.16416	3.73672e-06
8.17312	3.39832e-06
8.18208	3.10205e-06
8.19104	2.84168e-06
8.2	2.61207e-06
8.20909	2.40588e-06
8.21818	2.22301e-06
8.22727	2.06031e-06
8.23591	1.92229e-06
8.24503	1.79142e-06
8.25363	1.68061e-06
8.26224	1.58056e-06
8.27143	1.48417e-06
8.28	1.40319e-06
8.28857	1.32978e-06
8.29714	1.26318e-06
8.30571	1.20274e-06
8.31429	1.14791e-06
8.32286	1.09817e-06
8.33143	1.05311e-06
8.34	1.01235e-06
8.34857	9.75555e-07
8.35714	9.42452e-07
8.36571	9.128e-07
8.37429	8.86387e-07
8.38286	8.6304e-07
8.39143	8.42619e-07
8.4	8.24992e-07
8.4087	8.09855e-07
8.41739	7.97435e-07
8.42609	7.87641e-07
8.43478	7.80401e-07
8.44348	7.7577e-07
8.45217	7.72987e-07
8.46087	7.71638e-07
8.46957	7.71811e-07
8.47826	7.71751e-07
8.48696	7.71166e-07
8.49565	7.70194e-07
8.50435	7.69031e-07
8.51304	7.67578e-07
8.52174	7.65653e-07
8.53043	7.63118e-07
8.53913	7.59808e-07
8.54783	7.55503e-07
8.55652	7.49923e-07
8.56522	7.42709e-07
8.57391	7.33404e-07
8.58261	7.21422e-07
8.5913	7.05993e-07
8.6	6.86104e-07
8.6087	6.60444e-07
8.61739	6.27253e-07
8.62609	5.84101e-07
8.63478	-1e+15
8.64348	-1e+15
8.65217	-1e+15
8.66087	-1e+15
8.66957	-1e+15
8.67826	6.93116e-07
8.68696	8.58998e-07
8.69565	1.07988e-06
8.70435	1.35939e-06
8.71304	1.7108e-06
8.72174	2.16005e-06
8.73043	3.31217e-06
8.73913	6.0882e-06
8.74783	1.08801e-05
8.75652	1.94038e-05
8.76522	3.34867e-05
8.77391	5.41524e-05
8.78261	8.23421e-05
8.7913	0.000119
8.8	0.000165237
8.8087	0.000222267
8.81739	0.00029159
8.82609	0.000379343
8.83478	0.000496514
8.84348	0.000645939
8.85217	0.000836688
8.86087	0.00108722
8.86957	0.00140024
8.87826	0.00177515
8.88696	0.0022109
8.89565	0.00271607
8.90435	0.00331491
8.91304	0.00400388
8.92174	0.00478862
8.93043	0.00571229
8.93913	0.00676058
8.94783	0.00791329
8.95652	0.0091634
8.96522	0.0105044
8.97391	0.0119235
8.98261	0.0134274
8.9913	0.0150212
9	0.0166799
9.0087	0.0183845
9.01739	0.0201213
9.02609	0.021882
9.03478	0.0236599
9.04348	0.0254482
9.05217	0.0272394
9.06087	0.0290326
9.06957	0.0308253
9.07826	0.0326126
9.08696	0.0343917
9.09565	0.0361513
9.10435	0.0378904
9.11304	0.039606
9.12174	0.0412967
9.13043	0.0429561
9.13913	0.0445759
9.14783	0.0461475
9.15652	0.0476699
9.16522	0.0491397
9.17391	0.0505545
9.18261	0.0519079
9.1913	0.0531919
9.2	0.0543983
9.2087	0.0555216
9.21739	0.0565608
9.22609	0.0575141
9.23478	0.0583789
9.24348	0.0591532
9.25217	0.0598252
9.26087	0.0603923
9.26957	0.0608523
9.27826	0.0612035
9.28696	0.0614432
9.29565	0.0615649
9.30435	0.0615855
9.31304	0.0615148
9.32174	0.0613484
9.33043	0.0610744
9.33913	0.0606816
9.34783	0.0601761
9.35652	0.0595666
9.36522	0.0588587
9.37391	0.0580564
9.38261	0.0571638
9.3913	0.0561841
9.4	0.0551192
9.40909	0.053922
9.41818	0.0526418
9.42684	0.0513537
9.43595	0.0499361
9.44507	0.0484578
9.45418	0.0469286
9.46329	0.0453513
9.47241	0.043733
9.48152	0.0420742
9.49064	0.0403771
9.49975	0.0386486
9.50886	0.0369011
9.51798	0.0351408
9.52709	0.0333738
9.5362	0.0315953
9.54532	0.0298048
9.55443	0.028013
9.56355	0.0262287
9.57266	0.02446
9.58177	0.0227039
9.59089	0.0209603
9.6	0.0192373
9.60909	0.0175485
9.61818	0.0159024
9.62727	0.0143116
9.63636	0.0127774
9.64545	0.0113176
9.65455	0.00993553
9.66364	0.00863569
9.67273	0.00745129
9.68182	0.00638185
9.69091	0.00540778
9.7	0.00452646
9.70909	0.00374478
9.71818	0.00305079
9.72727	0.00245651
9.73636	0.00197986
9.74545	0.00159588
9.75455	0.00127894
9.76364	0.00101126
9.77273	0.000782863
9.78182	0.00059295
9.79091	0.000434117
9.8	0.000305685
9.80909	0.000214201
9.81864	0.000147495
9.82818	0.000102287
9.83773	7.16385e-05
9.84727	5.07406e-05
9.85682	3.63593e-05
9.86636	2.63837e-05
9.87591	1.94177e-05
9.88545	1.45112e-05
9.895	1.10175e-05
9.90455	8.50019e-06
9.91409	6.66069e-06
9.92364	5.29462e-06
9.93318	4.26391e-06
9.94273	3.47523e-06
9.95227	2.8642e-06
9.96182	2.38491e-06
9.97136	2.00441e-06
9.98091	1.69926e-06
9.99045	1.45216e-06
10	1.25019e-06
10.0095	1.08411e-06
10.019	9.4615e-07
10.0286	8.30734e-07
10.0381	7.3354e-07
10.0476	6.51209e-07
10.0571	5.81064e-07
10.0667	-1e+15
10.0762	-1e+15
10.0857	-1e+15
10.0952	-1e+15
10.1048	-1e+15
10.1143	-1e+15
10.1238	-1e+15
10.1333	-1e+15
10.1429	-1e+15
10.1524	-1e+15
10.1619	-1e+15
10.1714	-1e+15
10.181	-1e+15
10.1905	-1e+15
10.2	-1e+15
10.2095	-1e+15
10.219	-1e+15
10.2286	-1e+15
10.2381	-1e+15
10.2476	-1e+15
10.2571	-1e+15
10.2667	-1e+15
10.2762	-1e+15
10.2857	-1e+15
10.2952	-1e+15
10.3048	-1e+15
10.3143	-1e+15
10.3238	-1e+15
10.3333	-1e+15
10.3429	-1e+15
10.3524	-1e+15
10.3619	-1e+15
10.3714	-1e+15
10.3786	-1e+15
10.3857	-1e+15
10.3929	-1e+15
10.4	-1e+15
10.408	-1e+15
10.4167	-1e+15
10.4259	-1e+15
10.4351	-1e+15
10.4442	-1e+15
10.4534	-1e+15
10.4625	-1e+15
10.4717	-1e+15
10.4809	-1e+15
10.49	-1e+15
10.4992	-1e+15
10.5084	-1e+15
10.5175	-1e+15
10.5267	-1e+15
10.5359	-1e+15
10.545	-1e+15
10.5542	-1e+15
10.5633	-1e+15
10.5725	-1e+15
10.5817	-1e+15
10.5908	-1e+15
10.6	-1e+15
10.6091	-1e+15
10.6182	-1e+15
10.6273	-1e+15
10.6364	-1e+15
10.6455	-1e+15
10.6545	-1e+15
10.6636	-1e+15
10.6727	-1e+15
10.6818	-1e+15
10.6909	-1e+15
10.7	6.06001e-07
10.7091	8.43182e-07
10.7182	1.16877e-06
10.7273	1.61466e-06
10.7364	2.21434e-06
10.7455	3.02024e-06
10.7545	4.08729e-06
10.7636	5.50579e-06
10.7709	7.3077e-06
10.7782	1.21264e-05
10.7855	2.01101e-05
10.7927	3.22915e-05
10.8	5.19107e-05
10.808	8.4123e-05
10.8167	0.000133283
10.8255	0.000197954
10.8342	0.00028101
10.8429	0.000396199
10.8516	0.000555153
10.8604	0.000759235
10.8691	0.00102402
10.8778	0.00137378
10.8865	0.00180867
10.8953	0.0023267
10.904	0.0029539
10.9127	0.0036939
10.9215	0.00453733
10.9302	0.0055197
10.9389	0.00665855
10.9476	0.00792363
10.9564	0.00930322
10.9651	0.0107762
10.9738	0.0123246
10.9825	0.0139585
10.9913	0.0156727
11	0.017438
11.0087	0.0192305
11.0174	0.0210438
11.0261	0.0228687
11.0348	0.0247015
11.0435	0.0265295
11.0522	0.0283525
11.0609	0.0301701
11.0696	0.0319785
11.0783	0.0337725
11.0864	0.035426
11.0945	0.0370567
11.1026	0.038663
11.1107	0.0402457
11.1188	0.0418001
11.127	0.0433198
11.1351	0.0447963
11.1432	0.0462253
11.1513	0.0476078
11.1594	0.0489416
11.1675	0.0502233
11.1757	0.0514495
11.1838	0.0526133
11.1919	0.0537094
11.2	0.0547321
11.2083	0.0557049
