Time	gauge_0
-1	10
-2	0
-3	0
5.01111	0.00560275
5.0237	0.00580962
5.03726	0.00604172
5.05206	0.0063041
5.06551	0.00655034
5.08045	0.00683092
5.09373	0.00708617
5.10702	0.00734597
5.1203	0.00760961
5.13358	0.00787634
5.14687	0.00814543
5.16015	0.00841613
5.17343	0.00868764
5.18672	0.00895919
5.2	0.00922997
5.21429	0.00951941
5.22857	0.00980611
5.24286	0.0100893
5.25714	0.0103685
5.27143	0.0106431
5.28571	0.0109129
5.3	0.0111761
5.31429	0.0114311
5.32857	0.0116762
5.34286	0.0119097
5.35429	0.0120857
5.36571	0.0122524
5.37714	0.0124088
5.38857	0.0125543
5.4	0.012688
5.4125	0.0128205
5.42589	0.0129455
5.4404	0.01306
5.45491	0.0131505
5.46942	0.0132161
5.48393	0.0132563
5.49844	0.0132716
5.51295	0.0132608
5.52746	0.0132243
5.54196	0.0131585
5.55647	0.0130621
5.57098	0.0129355
5.58549	0.0127787
5.6	0.0125918
5.61538	0.0123619
5.63077	0.012099
5.64615	0.0118038
5.66154	0.0114772
5.67692	0.0111206
5.69231	0.0107363
5.70769	0.010328
5.72308	0.0098997
5.73846	0.00945621
5.75385	0.00900188
5.76923	0.00854085
5.78462	0.00807554
5.8	0.00760785
5.81538	0.00713958
5.83077	0.00667199
5.84615	0.00620639
5.86154	0.00574381
5.87692	0.00528542
5.89231	0.00483249
5.90769	0.00438631
5.92308	0.00394876
5.93846	0.00352945
5.95385	0.00313344
5.96923	0.00277739
5.98462	0.0024608
6	0.00217953
6.01538	0.00192891
6.03077	0.00170438
6.04615	0.00150205
6.06154	0.00131869
6.07692	0.00115167
6.09231	0.000998932
6.10769	0.000858858
6.12308	0.000730235
6.13846	0.000612385
6.15385	0.000507482
6.16923	0.000415576
6.18462	0.000340568
6.2	0.000279855
6.21538	0.000230934
6.23077	0.000191641
6.24615	0.000160111
6.26154	0.000134796
6.27692	0.00011444
6.29231	9.80371e-05
6.30769	8.47922e-05
6.32308	7.4081e-05
6.33846	6.54156e-05
6.35385	5.84119e-05
6.36538	5.41561e-05
6.37692	5.05455e-05
6.38846	4.74977e-05
6.4	4.49459e-05
6.4125	4.26613e-05
6.42589	4.0712e-05
6.43833	3.93494e-05
6.45077	3.83545e-05
6.4632	3.77172e-05
6.47564	3.74759e-05
6.48807	3.76626e-05
6.50051	3.84025e-05
6.51295	3.99009e-05
6.52538	4.22332e-05
6.53782	4.55577e-05
6.54818	4.92836e-05
6.55855	5.38601e-05
6.56891	5.93832e-05
6.57927	6.59691e-05
6.58964	7.37484e-05
6.6	8.28683e-05
6.61111	9.42375e-05
6.62292	0.000108351
6.63472	0.000124936
6.64653	0.00014444
6.65833	0.000167228
6.67014	0.000193774
6.68194	0.000224746
6.69375	0.000260496
6.70556	0.00030164
6.71736	0.000348906
6.72917	0.00040325
6.74097	0.000469833
6.75278	0.000552349
6.76458	0.000657818
6.77639	0.000794929
6.78819	0.000965823
6.8	0.00117144
6.8125	0.00142682
6.825	0.00172208
6.8375	0.00205768
6.84911	0.002407
6.86168	0.00282663
6.87426	0.0033075
6.88683	0.00385864
6.8994	0.00450256
6.91198	0.00525329
6.92455	0.00609814
6.93713	0.00702127
6.9497	0.00800993
6.96228	0.00905576
6.97485	0.0101626
6.98743	0.0113266
7	0.0125549
7.0125	0.013836
7.025	0.0151579
7.0375	0.0165023
7.05	0.017857
7.0625	0.0192129
7.075	0.0205622
7.08636	0.0217761
7.09899	0.0231069
7.11162	0.0244105
7.12424	0.0256788
7.13687	0.0269065
7.14949	0.028089
7.16212	0.0292212
7.17475	0.0302979
7.18737	0.0313139
7.2	0.0322647
7.2125	0.0331366
7.225	0.0339354
7.2375	0.0346578
7.25	0.0353009
7.2625	0.0358625
7.275	0.0363402
7.2875	0.0367309
7.3	0.0370317
7.3125	0.037243
7.325	0.0373658
7.3375	0.0373997
7.35	0.0373516
7.3625	0.0372155
7.375	0.0369835
7.3875	0.0366576
7.4	0.036242
7.4125	0.0357399
7.425	0.0351547
7.4375	0.0344896
7.45	0.033748
7.4625	0.0329333
7.475	0.0320494
7.4875	0.0311011
7.5	0.0300937
7.5125	0.0290335
7.525	0.0279267
7.5375	0.0267779
7.55	0.02559
7.5625	0.0243661
7.575	0.0231099
7.5875	0.0218262
7.6	0.020521
7.6125	0.0192048
7.625	0.017885
7.6375	0.0165737
7.65	0.0152757
7.6625	0.0139937
7.675	0.0127315
7.6875	0.0114981
7.7	0.01031
7.7125	0.00917824
7.725	0.00812757
7.7375	0.00715958
7.75	0.00626376
7.7625	0.00543104
7.775	0.00465544
7.7875	0.00394336
7.8	0.00330343
7.8125	0.00274216
7.825	0.00227969
7.8375	0.00189928
7.85	0.00158146
7.8625	0.001311
7.875	0.00107714
7.8875	0.000872456
7.9	0.00069189
7.9125	0.000537625
7.925	0.000406227
7.9375	0.00030381
7.95	0.000227493
7.9625	0.000171098
7.975	0.000129494
7.9875	9.87318e-05
8	7.58849e-05
8.0125	5.88369e-05
8.025	4.60474e-05
8.0375	3.63953e-05
8.05	2.90625e-05
8.0625	2.34512e-05
8.075	1.91236e-05
8.0875	1.57591e-05
8.1	1.31213e-05
8.1125	1.10364e-05
8.125	9.37374e-06
8.1375	8.03492e-06
8.15	6.94697e-06
8.1625	6.05471e-06
8.175	5.31689e-06
8.1875	4.70213e-06
8.2	4.18667e-06
8.2125	3.75201e-06
8.225	3.38319e-06
8.2375	3.06856e-06
8.25	2.79873e-06
8.2625	2.56623e-06
8.275	2.36522e-06
8.2875	2.19093e-06
8.3	2.0395e-06
8.3125	1.90776e-06
8.325	1.79311e-06
8.3375	1.69341e-06
8.35	1.6069e-06
8.3625	1.53211e-06
8.375	1.46788e-06
8.3875	1.41324e-06
8.39375	1.39024e-06
8.4	1.36934e-06
8.40741	1.34696e-06
8.41578	1.32477e-06
8.42499	1.30412e-06
8.43529	1.28556e-06
8.44627	1.27089e-06
8.45809	1.26114e-06
8.46992	1.25585e-06
8.48174	1.25384e-06
8.49357	1.25283e-06
8.5054	1.24979e-06
8.51722	1.24512e-06
8.52905	1.23968e-06
8.54087	1.23249e-06
8.5527	1.22294e-06
8.56452	1.2103e-06
8.57635	1.19358e-06
8.58817	1.17146e-06
8.6	1.14214e-06
8.61176	1.10356e-06
8.62353	1.05211e-06
8.63529	9.83185e-07
8.64706	8.90582e-07
8.65882	8.16586e-07
8.67059	7.82111e-07
8.68235	7.61763e-07
8.69412	9.5728e-07
8.70588	1.21911e-06
8.71765	1.58599e-06
8.72941	2.07121e-06
8.74118	2.72086e-06
8.75294	4.66619e-06
8.76471	8.74906e-06
8.77647	1.70135e-05
8.78824	3.18225e-05
8.8	5.45568e-05
8.81176	8.6627e-05
8.82353	0.000129547
8.83456	0.000180834
8.84559	0.00024499
8.85662	0.000323635
8.86765	0.000425289
8.87868	0.000561878
8.88971	0.000739646
8.90074	0.00098168
8.91176	0.00129381
8.92279	0.0016745
8.93382	0.00212143
8.94485	0.00263561
8.95588	0.00324534
8.96691	0.00395589
8.97794	0.00478076
8.98897	0.00575524
9	0.00685443
9.01111	0.00806104
9.02222	0.00935413
9.03333	0.010731
9.04444	0.0121771
9.05556	0.0137069
9.06667	0.0153006
9.07778	0.0169316
9.08889	0.0185798
9.1	0.0202338
9.11111	0.0218843
9.12222	0.0235217
9.13333	0.0251352
9.14444	0.0267165
9.15556	0.0282614
9.16667	0.0297667
9.17778	0.0312268
9.18889	0.0326361
9.2	0.0339864
9.21111	0.0352695
9.22292	0.0365548
9.23398	0.0376801
9.24505	0.0387254
9.25612	0.0396855
9.26719	0.0405557
9.27826	0.0413314
9.28932	0.0420113
9.30039	0.0425885
9.31146	0.0430584
9.32253	0.0434205
9.33359	0.0436762
9.34466	0.0438206
9.35573	0.0438654
9.3668	0.043816
9.37786	0.0436683
9.38893	0.0434096
9.4	0.0430368
9.41176	0.0425219
9.42284	0.0419296
9.43391	0.04124
9.44498	0.0404594
9.45606	0.0395943
9.46713	0.0386522
9.4782	0.0376392
9.48927	0.0365599
9.50035	0.0354187
9.51142	0.0342191
9.52249	0.0329662
9.53356	0.0316661
9.54464	0.0303262
9.55571	0.0289549
9.56678	0.0275587
9.57785	0.0261407
9.58893	0.0247037
9.6	0.0232489
9.61176	0.0216885
9.62353	0.020121
9.63529	0.0185594
9.64706	0.0170138
9.65882	0.0154982
9.67059	0.0140178
9.68235	0.012573
9.69412	0.0111803
9.70588	0.0098566
9.71765	0.00861671
9.72941	0.00748502
9.74118	0.00645379
9.75294	0.00550795
9.76471	0.00463698
9.77647	0.00385343
9.78824	0.00315851
9.8	0.00256484
9.81176	0.00208701
9.82353	0.00170047
9.83529	0.00138098
9.84706	0.00111089
9.85882	0.000878509
9.87059	0.000677563
9.88235	0.000509413
9.89412	0.000368586
9.90588	0.000264627
9.91765	0.000190336
9.92941	0.000137732
9.94118	0.000100477
9.95294	7.39896e-05
9.96471	5.50244e-05
9.97647	4.13644e-05
9.98824	3.14446e-05
10	2.41917e-05
10.0125	1.85361e-05
10.025	1.44105e-05
10.0375	1.13663e-05
10.05	9.0939e-06
10.0625	7.37482e-06
10.075	6.05569e-06
10.0875	5.02951e-06
10.1	4.22116e-06
10.1125	3.57741e-06
10.125	3.05862e-06
10.1375	2.63638e-06
10.15	2.28979e-06
10.1625	2.0031e-06
10.175	1.76423e-06
10.1875	1.5639e-06
10.2	1.39488e-06
10.2125	1.25153e-06
10.225	1.12936e-06
10.2375	1.02481e-06
10.25	9.35004e-07
10.2625	8.57615e-07
10.275	7.9077e-07
10.2875	7.32988e-07
10.3	6.83002e-07
10.3125	6.39767e-07
10.325	6.02426e-07
10.3375	5.70267e-07
10.35	5.42713e-07
10.3625	-1e+15
10.375	-1e+15
10.3875	-1e+15
10.4	-1e+15
10.4125	-1e+15
10.425	-1e+15
10.4367	-1e+15
10.4483	-1e+15
10.46	-1e+15
10.4717	-1e+15
10.4833	-1e+15
10.495	-1e+15
10.5067	-1e+15
10.5183	-1e+15
10.53	-1e+15
10.5417	-1e+15
10.5533	-1e+15
10.565	-1e+15
10.5767	-1e+15
10.5883	-1e+15
10.6	-1e+15
10.6118	-1e+15
10.6235	-1e+15
10.6353	-1e+15
10.6471	-1e+15
10.6588	-1e+15
10.6706	-1e+15
10.6824	-1e+15
10.6941	7.55834e-07
10.7059	9.99118e-07
10.7176	1.32098e-06
10.7294	1.74288e-06
10.7412	2.31977e-06
10.7529	3.10325e-06
10.7647	4.27568e-06
10.7765	7.80295e-06
10.7882	1.44635e-05
10.8	2.78738e-05
10.8111	4.88412e-05
10.8222	7.98835e-05
10.8333	0.000122197
10.8444	0.000177251
10.8556	0.00024665
10.8667	0.000332454
10.8778	0.000447346
10.8889	0.000600963
10.9	0.000801976
10.9111	0.00107643
10.9222	0.00142497
10.9333	0.00184439
10.9444	0.00233218
10.9556	0.00289773
10.9667	0.00356653
10.9778	0.00433326
10.9889	0.0052427
11	0.00628873
11.0111	0.00744334
11.0222	0.00868184
11.0333	0.0100038
11.0444	0.0113975
11.0556	0.012861
11.0667	0.0143979
11.0778	0.0159806
11.0889	0.0175855
11.1	0.0191995
11.1111	0.0208127
11.1222	0.0224176
11.1333	0.0240047
11.1444	0.0255638
11.1556	0.027088
11.1667	0.028575
11.1778	0.0300212
11.1889	0.0314202
11.2	0.0327663
11.2111	0.0340518
11.2222	0.0352703
11.2333	0.0364166
11.2444	0.0374875
11.2556	0.0384776
11.2667	0.0393819
11.2778	0.0401962
11.2889	0.0409168
11.3	0.0415418
11.3111	0.0420649
11.3222	0.0424843
11.3333	0.0427982
11.3444	0.0430088
11.3556	0.0431144
11.3667	0.0431192
11.3778	0.0430335
11.3889	0.0428481
11.4	0.042554
11.4111	0.0421525
11.4222	0.0416497
11.4333	0.0410496
11.4444	0.0403574
11.4556	0.0395793
11.4667	0.0387215
11.4778	0.0377901
11.4889	0.0367891
11.5	0.0357219
11.5111	0.0345918
11.5222	0.0334029
11.5333	0.0321613
11.5444	0.0308744
11.5556	0.0295494
11.5667	0.0281939
11.5778	0.0268135
11.5889	0.0254103
11.6	0.023985
11.6111	0.0225421
11.6222	0.0210857
11.6333	0.0196279
11.6444	0.0181767
11.6556	0.0167431
11.6667	0.0153351
11.6778	0.0139564
11.6889	0.0126082
11.7	0.0113035
11.7111	0.0100581
11.721	0.00900728
11.7309	0.00803239
11.7407	0.00713154
11.7506	0.00629617
11.7605	0.0055173
11.7704	0.00478921
11.7802	0.00411766
11.7901	0.0035086
11.8	0.00295783
11.8105	0.00246037
11.8217	0.00202789
11.8328	0.00167232
11.844	0.00137423
11.8551	0.00111945
11.8663	0.000898321
11.8774	0.000704857
11.8885	0.000541182
11.8997	0.000402665
11.9108	0.000294915
11.922	0.000215862
11.9331	0.000158562
11.9443	0.000117185
11.9554	8.72428e-05
11.9666	6.54852e-05
11.9749	5.33488e-05
11.9833	4.36885e-05
11.9916	3.59747e-05
12	2.97938e-05
12.0091	2.44113e-05
12.0191	1.97266e-05
12.0298	1.58877e-05
12.0411	1.27449e-05
12.0525	1.03462e-05
12.0638	8.49564e-06
12.0752	7.05208e-06
12.0865	5.91292e-06
12.0979	5.00435e-06
12.1092	4.27287e-06
12.1206	3.67854e-06
12.1319	3.19129e-06
12.1433	2.78853e-06
12.1546	2.45308e-06
12.166	2.17175e-06
12.1773	1.93435e-06
12.1887	1.73288e-06
12.2	1.56111e-06
12.2111	1.41688e-06
12.2222	1.29227e-06
12.2333	1.18423e-06
12.2444	1.0903e-06
12.2556	1.00845e-06
12.2667	9.37006e-07
12.2778	8.7458e-07
12.2889	8.2002e-07
12.3	7.72369e-07
12.3111	7.30828e-07
12.3222	6.94724e-07
12.3333	6.63501e-07
12.3444	6.36685e-07
12.3556	6.13893e-07
12.3667	5.9481e-07
12.3778	5.7914e-07
12.3889	5.66735e-07
12.4	5.57398e-07
12.4118	5.50672e-07
12.4235	5.4704e-07
12.4353	5.45627e-07
12.4471	5.45973e-07
