Time WG WG 
-1  23.086172 40.000000 
-2   1.000000  1.000000 
-3   0.400000  0.400000 
      0.001198 -0.000000 -0.000000 
      0.002628 -0.000000 -0.000000 
      0.004329 -0.000000 -0.000000 
      0.006368 -0.000000 -0.000000 
      0.008788 -0.000000 -0.000000 
      0.011685  0.000000 -0.000000 
      0.015109  0.000000 -0.000000 
      0.019128  0.000000 -0.000000 
      0.023888  0.000000  0.000000 
      0.029569  0.000000  0.000000 
      0.036124  0.000000  0.000000 
      0.043928  0.000000  0.000000 
      0.053109  0.000000  0.000000 
      0.062901  0.000000  0.000000 
      0.072694  0.000000  0.000000 
      0.082487  0.000000  0.000000 
      0.092280  0.000000  0.000000 
      0.102072  0.000000  0.000000 
      0.111865  0.000000  0.000000 
      0.121658  0.000000  0.000000 
      0.131451  0.000000  0.000000 
      0.141243  0.000000  0.000000 
      0.151036  0.000000  0.000000 
      0.160829  0.000000  0.000000 
      0.170622  0.000000  0.000000 
      0.180414  0.000000  0.000000 
      0.190207  0.000000  0.000000 
      0.200000  0.000000  0.000000 
      0.209524  0.000000  0.000000 
      0.219048  0.000000  0.000000 
      0.228571  0.000000  0.000000 
      0.238095  0.000000  0.000000 
      0.247619  0.000000  0.000000 
      0.257143  0.000000  0.000000 
      0.266667  0.000000  0.000000 
      0.276190  0.000000  0.000000 
      0.285714  0.000000  0.000000 
      0.295238  0.000000  0.000000 
      0.304762  0.000000  0.000000 
      0.314286  0.000000  0.000000 
      0.323810  0.000000  0.000000 
      0.333333  0.000000  0.000000 
      0.342857  0.000000  0.000000 
      0.352381  0.000000  0.000000 
      0.361905  0.000000  0.000000 
      0.371429  0.000000  0.000000 
      0.380952  0.000000  0.000000 
      0.390476  0.000000  0.000000 
      0.400000  0.000000  0.000000 
      0.409524  0.000000  0.000000 
      0.419048  0.000000  0.000000 
      0.428571  0.000000  0.000000 
      0.438095  0.000000  0.000000 
      0.447619  0.000000  0.000000 
      0.457143  0.000000  0.000000 
      0.466667  0.000000  0.000000 
      0.476190  0.000000  0.000000 
      0.485714  0.000000  0.000000 
      0.495238  0.000000  0.000000 
      0.504762  0.000000  0.000000 
      0.514286  0.000000  0.000000 
      0.523810  0.000000  0.000000 
      0.533333  0.000000  0.000000 
      0.542857  0.000000  0.000000 
      0.552381  0.000000  0.000000 
      0.561905  0.000000  0.000000 
      0.571429  0.000000  0.000000 
      0.580952  0.000000  0.000000 
      0.590476  0.000000  0.000000 
      0.600000  0.000000  0.000000 
      0.610000  0.000000  0.000000 
      0.620000  0.000000  0.000000 
      0.630000  0.000000  0.000000 
      0.640000  0.000000  0.000000 
      0.650000  0.000000  0.000000 
      0.660000  0.000000  0.000000 
      0.670000  0.000000  0.000000 
      0.680000  0.000000  0.000000 
      0.690000  0.000000  0.000000 
      0.700000  0.000000  0.000000 
      0.710000  0.000000  0.000000 
      0.720000  0.000000  0.000000 
      0.730000  0.000000  0.000000 
      0.740000  0.000000  0.000000 
      0.750000  0.000000  0.000000 
      0.760000  0.000000  0.000000 
      0.770000  0.000000  0.000000 
      0.780000  0.000000  0.000000 
      0.790000  0.000000  0.000000 
      0.800000  0.000000  0.000000 
      0.810000  0.000000  0.000000 
      0.820000  0.000000  0.000000 
      0.830000  0.000000  0.000000 
      0.840000  0.000000  0.000000 
      0.850000  0.000000  0.000000 
      0.860000  0.000000  0.000000 
      0.870000  0.000000  0.000000 
      0.880000  0.000000  0.000000 
      0.890000  0.000000  0.000000 
      0.900000  0.000000  0.000000 
      0.910000  0.000000  0.000000 
      0.920000  0.000000  0.000000 
      0.930000  0.000000  0.000000 
      0.940000  0.000000  0.000000 
      0.950000  0.000000  0.000000 
      0.960000  0.000000  0.000000 
      0.970000  0.000000  0.000000 
      0.980000  0.000000  0.000000 
      0.990000  0.000000  0.000000 
      1.000000  0.000000  0.000000 
      1.009524  0.000000  0.000000 
      1.019048  0.000000  0.000000 
      1.028571  0.000000  0.000000 
      1.038095  0.000000  0.000000 
      1.047619  0.000000  0.000000 
      1.057143  0.000000  0.000000 
      1.066667  0.000000  0.000000 
      1.076190  0.000000  0.000000 
      1.085714  0.000000  0.000000 
      1.095238  0.000000  0.000000 
      1.104762  0.000000  0.000000 
      1.114286  0.000000  0.000000 
      1.123810  0.000000  0.000000 
      1.133333  0.000000  0.000000 
      1.142857  0.000000  0.000000 
      1.152381  0.000000  0.000000 
      1.161905  0.000000  0.000000 
      1.171429  0.000000  0.000000 
      1.180952  0.000000  0.000000 
      1.190476  0.000000  0.000000 
      1.200000  0.000000  0.000000 
      1.210000  0.000000  0.000000 
      1.220000  0.000000  0.000000 
      1.230000  0.000000  0.000000 
      1.240000  0.000000  0.000000 
      1.250000  0.000000  0.000000 
      1.260000  0.000000  0.000000 
      1.270000  0.000000  0.000000 
      1.280000  0.000000  0.000000 
      1.290000  0.000000  0.000000 
      1.300000  0.000000  0.000000 
      1.310000  0.000000  0.000000 
      1.320000  0.000000  0.000000 
      1.330000  0.000000  0.000000 
      1.340000  0.000000  0.000000 
      1.350000  0.000000  0.000000 
      1.360000  0.000000  0.000000 
      1.370000  0.000000  0.000000 
      1.380000  0.000000  0.000000 
      1.390000  0.000000  0.000000 
      1.400000  0.000000  0.000000 
      1.410000  0.000000  0.000000 
      1.420000  0.000000  0.000000 
      1.430000  0.000000  0.000000 
      1.440000  0.000000  0.000000 
      1.450000  0.000000  0.000000 
      1.460000  0.000000  0.000000 
      1.470000  0.000000  0.000000 
      1.480000  0.000000  0.000000 
      1.490000  0.000000  0.000000 
      1.500000  0.000000  0.000000 
      1.510000  0.000000  0.000000 
      1.520000  0.000000  0.000000 
      1.530000  0.000000  0.000000 
      1.540000  0.000000  0.000000 
      1.550000  0.000000  0.000000 
      1.560000  0.000000  0.000000 
      1.570000  0.000000  0.000000 
      1.580000  0.000000  0.000000 
      1.590000  0.000000  0.000000 
      1.600000  0.000000  0.000000 
      1.610000  0.000000  0.000000 
      1.620000  0.000000  0.000000 
      1.630000  0.000000  0.000000 
      1.640000  0.000000  0.000000 
      1.650000  0.000000  0.000000 
      1.660000  0.000000  0.000000 
      1.670000  0.000000  0.000000 
      1.680000  0.000000  0.000000 
      1.690000  0.000000  0.000000 
      1.700000  0.000000  0.000000 
      1.710000  0.000000  0.000000 
      1.720000  0.000000  0.000000 
      1.730000  0.000000  0.000000 
      1.740000  0.000000  0.000000 
      1.750000  0.000000  0.000000 
      1.760000  0.000000  0.000000 
      1.770000  0.000000  0.000000 
      1.780000  0.000000  0.000000 
      1.790000  0.000000  0.000000 
      1.800000  0.000000  0.000000 
      1.810000  0.000000  0.000000 
      1.820000  0.000000  0.000000 
      1.830000  0.000000  0.000000 
      1.840000  0.000000  0.000000 
      1.850000  0.000000  0.000000 
      1.860000  0.000000  0.000000 
      1.870000  0.000000  0.000000 
      1.880000  0.000000  0.000000 
      1.890000  0.000000  0.000000 
      1.900000  0.000000  0.000000 
      1.910000  0.000000  0.000000 
      1.920000  0.000000  0.000000 
      1.930000  0.000000  0.000000 
      1.940000  0.000000  0.000000 
      1.950000  0.000000  0.000000 
      1.960000  0.000000  0.000000 
      1.970000  0.000000  0.000000 
      1.980000  0.000000  0.000000 
      1.990000  0.000000  0.000000 
      2.000000  0.000000  0.000000 
      2.009524  0.000000  0.000000 
      2.019048  0.000000  0.000000 
      2.028571  0.000000  0.000000 
      2.038095  0.000000  0.000000 
      2.047619  0.000000  0.000000 
      2.057143  0.000000  0.000000 
      2.066667  0.000000  0.000000 
      2.076190  0.000000  0.000000 
      2.085714  0.000000  0.000000 
      2.095238  0.000000  0.000000 
      2.104762  0.000000  0.000000 
      2.114286  0.000000  0.000000 
      2.123810  0.000000  0.000000 
      2.133333  0.000000  0.000000 
      2.142857  0.000000  0.000000 
      2.152381  0.000000  0.000000 
      2.161905  0.000000  0.000000 
      2.171429  0.000000  0.000000 
      2.180952  0.000000  0.000000 
      2.190476  0.000000  0.000000 
      2.200000  0.000000  0.000000 
      2.209524  0.000000  0.000000 
      2.219048  0.000000  0.000000 
      2.228571  0.000000  0.000000 
      2.238095  0.000000  0.000000 
      2.247619  0.000000  0.000000 
      2.257143  0.000000  0.000000 
      2.266667  0.000000  0.000000 
      2.276190  0.000000  0.000000 
      2.285714  0.000000  0.000000 
      2.295238  0.000000  0.000000 
      2.304762  0.000000  0.000000 
      2.314286  0.000000  0.000000 
      2.323810  0.000000  0.000000 
      2.333333  0.000000  0.000000 
      2.342857  0.000000  0.000000 
      2.352381  0.000000  0.000000 
      2.361905  0.000000  0.000000 
      2.371429  0.000000  0.000000 
      2.380952  0.000000  0.000000 
      2.390476  0.000000  0.000000 
      2.400000  0.000000  0.000000 
      2.410000  0.000000  0.000000 
      2.420000  0.000000  0.000000 
      2.429474  0.000000  0.000000 
      2.438947  0.000000  0.000000 
      2.448421  0.000000  0.000000 
      2.457895  0.000000  0.000000 
      2.467368  0.000000  0.000000 
      2.476842  0.000000  0.000000 
      2.486316  0.000000  0.000000 
      2.495789  0.000000  0.000000 
      2.505263  0.000000  0.000000 
      2.514737  0.000000  0.000000 
      2.524211  0.000000  0.000000 
      2.533684  0.000000  0.000000 
      2.543158  0.000000  0.000000 
      2.552632  0.000000  0.000000 
      2.562105  0.000000  0.000000 
      2.571579  0.000000  0.000000 
      2.581053  0.000000  0.000000 
      2.590526  0.000000  0.000000 
      2.600000  0.000000  0.000000 
      2.609524  0.000000  0.000000 
      2.619048  0.000000  0.000000 
      2.628571  0.000000  0.000000 
      2.638095  0.000000  0.000000 
      2.647619  0.000000  0.000000 
      2.657143  0.000000  0.000000 
      2.666667  0.000000  0.000000 
      2.676190  0.000000  0.000000 
      2.685714  0.000000  0.000000 
      2.695238  0.000000  0.000000 
      2.704762  0.000000  0.000000 
      2.714286  0.000000  0.000000 
      2.723810  0.000000  0.000000 
      2.733333  0.000000  0.000000 
