Time	gauge_0
-1	10
-2	0
-3	0
15.0105	0.017855
15.0145	0.018466
15.0189	0.0191713
15.0238	0.0199706
15.0287	0.0207862
15.033	0.021513
15.0369	0.0221982
15.0406	0.0228445
15.0442	0.0234684
15.0476	0.0240703
15.0508	0.0246506
15.054	0.025222
15.0571	0.0257838
15.0601	0.0263358
15.0631	0.0268665
15.0659	0.0273874
15.0687	0.0278989
15.0714	0.0284008
15.0741	0.0288932
15.0767	0.029376
15.0793	0.029849
15.0818	0.0303125
15.0843	0.0307761
15.0868	0.0312299
15.0893	0.0316837
15.0917	0.0321374
15.0941	0.0325809
15.0965	0.0330143
15.0988	0.0334473
15.1011	0.0338701
15.1034	0.0342925
15.1057	0.0347044
15.1079	0.035106
15.1101	0.0355069
15.1122	0.0358974
15.1143	0.0362779
15.1164	0.0366576
15.1184	0.0370274
15.1204	0.0373875
15.1224	0.0377467
15.1243	0.0380962
15.1263	0.0384449
15.1282	0.0387927
15.1301	0.0391302
15.132	0.0394668
15.1338	0.0397932
15.1357	0.0401186
15.1375	0.0404428
15.1393	0.0407567
15.1411	0.0410695
15.1429	0.0413812
15.1447	0.0416919
15.1464	0.0420013
15.1482	0.0422997
15.1499	0.0425969
15.1516	0.0428929
15.1534	0.0431877
15.1551	0.0434813
15.1568	0.0437736
15.1585	0.0440534
15.1601	0.0443319
15.1618	0.0446091
15.1635	0.0448849
15.165	0.0451474
15.1666	0.0454086
15.1682	0.0456685
15.1698	0.045927
15.1714	0.0461841
15.1729	0.0464264
15.1744	0.0466674
15.1759	0.0469071
15.1774	0.0471456
15.1789	0.0473827
15.1804	0.0476185
15.1818	0.0478361
15.1832	0.0480526
15.1846	0.0482677
15.186	0.0484816
15.1874	0.0486943
15.1888	0.0489056
15.1902	0.0491155
15.1916	0.0493241
15.193	0.0495313
15.1944	0.0497371
15.1958	0.0499415
15.1972	0.0501445
15.1986	0.050346
15.2	0.050546
15.2014	0.0507447
15.2028	0.0509405
15.2042	0.0511348
15.2056	0.0513262
15.2069	0.0515162
15.2083	0.0517033
15.2097	0.0518889
15.211	0.052073
15.2124	0.0522542
15.2138	0.0524339
15.2151	0.0526121
15.2165	0.0527875
15.2178	0.0529612
15.2192	0.0531334
15.2205	0.0533028
15.2218	0.0534705
15.2232	0.0536366
15.2245	0.0537999
15.2258	0.0539615
15.2272	0.0541215
15.2285	0.0542798
15.2298	0.0544353
15.2311	0.0545891
15.2325	0.0547413
15.2338	0.0548918
15.2351	0.0550406
15.2364	0.0551877
15.2377	0.0553331
15.239	0.0554756
15.2404	0.0556164
15.2417	0.0557555
15.243	0.0558928
15.2443	0.0560283
15.2456	0.056161
15.2469	0.0562918
15.2482	0.0564209
15.2495	0.0565482
15.2508	0.0566727
15.252	0.0567953
15.2533	0.0569161
15.2546	0.0570352
15.2559	0.0571514
15.2572	0.0572658
15.2584	0.0573783
15.2597	0.0574891
15.261	0.057597
15.2622	0.0577031
15.2635	0.0578065
15.2648	0.0579082
15.266	0.0580081
15.2672	0.0581054
15.2685	0.0582009
15.2697	0.0582946
15.271	0.0583857
15.2722	0.0584749
15.2734	0.0585623
15.2746	0.0586479
15.2759	0.0587308
15.2771	0.0588119
15.2783	0.0588912
15.2795	0.0589687
15.2807	0.0590443
15.2819	0.0591174
15.2831	0.0591886
15.2843	0.059258
15.2855	0.0593256
15.2867	0.0593907
15.2879	0.0594539
15.2891	0.0595154
15.2903	0.0595751
15.2915	0.059633
15.2927	0.0596892
15.2939	0.0597429
15.2951	0.059795
15.2962	0.0598452
15.2974	0.0598937
15.2986	0.0599404
15.2998	0.0599853
15.301	0.0600283
15.3021	0.0600695
15.3033	0.0601088
15.3045	0.0601462
15.3057	0.0601818
15.3068	0.0602154
15.308	0.0602472
15.3092	0.0602772
15.3104	0.0603052
15.3116	0.0603314
15.3127	0.0603554
15.3139	0.0603775
15.3151	0.060398
15.3162	0.0604167
15.3174	0.0604337
15.3185	0.060449
15.3197	0.0604626
15.3209	0.0604745
15.322	0.0604847
15.3232	0.0604931
15.3244	0.0604998
15.3255	0.0605048
15.3267	0.060508
15.3279	0.0605095
15.329	0.0605092
15.3302	0.0605071
15.3313	0.0605033
15.3325	0.0604977
15.3337	0.0604903
15.3348	0.0604812
15.336	0.0604701
15.3372	0.0604573
15.3383	0.0604426
15.3395	0.0604261
15.3407	0.0604078
15.3418	0.0603876
15.343	0.0603655
15.3441	0.0603416
15.3453	0.0603159
15.3465	0.0602883
15.3476	0.0602589
15.3488	0.0602276
15.35	0.0601945
15.3511	0.0601596
15.3523	0.0601228
15.3535	0.0600842
15.3546	0.0600427
15.3558	0.0599994
15.357	0.0599542
15.3582	0.0599071
15.3594	0.0598582
15.3606	0.0598073
15.3618	0.0597546
15.363	0.0597001
15.3642	0.0596436
15.3654	0.0595852
15.3666	0.0595229
15.3679	0.0594585
15.3691	0.059392
15.3703	0.0593236
15.3716	0.0592532
15.3728	0.0591807
15.374	0.0591063
15.3753	0.0590298
15.3765	0.0589514
15.3778	0.0588711
15.379	0.0587889
15.3802	0.0587047
15.3815	0.0586187
15.3827	0.0585308
15.3839	0.058441
15.3852	0.0583493
15.3864	0.0582557
15.3876	0.0581603
15.3889	0.0580631
15.3901	0.057964
15.3913	0.0578631
15.3926	0.0577603
15.3938	0.0576557
15.3951	0.0575494
15.3963	0.0574412
15.3975	0.0573312
15.3988	0.0572194
15.4	0.0571059
15.4014	0.056978
15.4028	0.0568424
15.4042	0.0567033
15.4057	0.0565609
15.4072	0.0564139
15.4086	0.0562632
15.4101	0.0561101
15.4116	0.0559532
15.4131	0.0557913
15.4147	0.0556255
15.4162	0.0554557
15.4178	0.0552818
15.4193	0.0551038
15.4209	0.0549216
15.4225	0.0547351
15.4241	0.0545442
15.4258	0.0543488
15.4274	0.0541489
15.4291	0.0539443
15.4307	0.0537349
15.4324	0.0535207
15.4342	0.0533015
15.4359	0.0530771
15.4376	0.05285
15.4393	0.0526249
15.441	0.052402
15.4426	0.0521788
15.4442	0.0519579
15.4458	0.0517348
15.4474	0.0515117
15.449	0.0512866
15.4506	0.0510617
15.4521	0.0508371
15.4537	0.050613
15.4552	0.050387
15.4567	0.0501616
15.4582	0.0499368
15.4597	0.0497128
15.4612	0.049487
15.4627	0.0492596
15.4642	0.0490331
15.4657	0.0488051
15.4671	0.0485755
15.4686	0.0483469
15.4701	0.0481168
15.4715	0.0478879
15.4729	0.0476575
15.4744	0.0474257
15.4758	0.0471925
15.4773	0.0469579
15.4787	0.0467247
15.4801	0.0464874
15.4816	0.0462488
15.483	0.0460089
15.4845	0.0457677
15.4859	0.0455253
15.4873	0.0452846
15.4888	0.0450428
15.4902	0.0447966
15.4917	0.0445493
15.4931	0.0443008
15.4946	0.0440513
15.496	0.0438007
15.4974	0.0435491
15.4989	0.0432965
15.5003	0.0430428
15.5018	0.0427882
15.5032	0.0425325
15.5047	0.0422758
15.5061	0.0420183
15.5076	0.0417598
15.509	0.0415004
15.5104	0.0412401
15.5119	0.0409789
15.5133	0.0407169
15.5148	0.0404542
15.5162	0.0401907
15.5177	0.0399264
15.5191	0.0396615
15.5206	0.0393911
15.522	0.0391199
15.5235	0.0388481
15.525	0.0385757
15.5265	0.0383025
15.5279	0.0380287
15.5294	0.0377543
15.5309	0.0374792
15.5323	0.0372036
15.5338	0.0369274
15.5353	0.0366507
15.5368	0.0363734
15.5382	0.0360956
15.5397	0.0358173
15.5412	0.0355384
15.5426	0.035259
15.5441	0.0349861
15.5455	0.0347128
15.5469	0.0344392
15.5484	0.0341651
15.5498	0.0338907
15.5512	0.0336236
15.5526	0.0333563
15.554	0.0330965
15.5553	0.0328365
15.5567	0.0325764
15.558	0.0323241
15.5593	0.0320717
15.5606	0.0318192
15.5619	0.0315667
15.5632	0.0313141
15.5645	0.0310615
15.5659	0.0308088
15.5672	0.0305561
15.5685	0.0303035
15.5697	0.030061
15.571	0.0298185
15.5722	0.0295862
15.5734	0.029354
15.5746	0.029132
15.5757	0.0289101
15.5769	0.0286883
15.578	0.0284668
15.5791	0.0282565
15.5802	0.0280463
15.5813	0.0278363
15.5824	0.0276265
15.5835	0.0274169
15.5846	0.0272076
15.5857	0.0269984
15.5868	0.0267894
15.5879	0.0265807
15.589	0.0263722
15.5901	0.0261639
15.5912	0.0259558
15.5923	0.0257479
15.5934	0.0255403
15.5945	0.0253329
15.5956	0.0251257
15.5967	0.0249188
15.5978	0.0247122
15.5989	0.0245058
15.6	0.0242998
15.6012	0.0240729
15.6024	0.0238437
15.6037	0.0236138
15.6049	0.0233832
15.6062	0.0231518
15.6074	0.0229182
15.6087	0.0226839
15.61	0.0224488
15.6113	0.0222112
15.6126	0.0219729
15.6139	0.0217336
15.6153	0.0214934
15.6166	0.0212524
15.6179	0.0210121
15.6193	0.0207709
15.6206	0.0205305
15.622	0.020291
15.6233	0.0200524
15.6247	0.0198132
15.626	0.019575
15.6274	0.0193373
15.6288	0.0191002
15.6301	0.0188616
15.6315	0.0186233
15.6329	0.0183854
15.6343	0.0181459
15.6356	0.0179066
15.637	0.0176676
15.6384	0.0174268
15.6398	0.0171861
15.6412	0.0169455
15.6426	0.016703
15.644	0.0164606
15.6454	0.0162183
15.6468	0.0159761
15.6482	0.0157317
15.6497	0.0154878
15.6511	0.0152442
15.6525	0.0149986
15.6539	0.0147536
15.6554	0.0145069
15.6568	0.0142611
15.6583	0.0140137
15.6597	0.0137674
15.6612	0.0135196
15.6627	0.0132727
15.6642	0.0130242
15.6657	0.0127767
15.6672	0.0125273
15.6687	0.0122788
15.6702	0.0120284
15.6718	0.0117759
15.6733	0.0115241
15.6749	0.0112701
15.6764	0.0110162
15.678	0.0107582
15.6796	0.0104958
15.6812	0.0102341
15.6829	0.00996965
15.6845	0.00970264
15.6862	0.00943313
15.6879	0.00916521
15.6896	0.00889505
15.6913	0.00862273
15.693	0.00834831
15.6948	0.00807636
15.6966	0.00780246
15.6984	0.00753156
15.7001	0.00726435
15.7019	0.00700112
15.7037	0.00674221
15.7055	0.00649225
15.7072	0.00624647
15.7089	0.00600931
15.7107	0.00577614
15.7123	0.00555147
15.714	0.00533111
15.7157	0.00511927
15.7173	0.00491168
15.719	0.00470833
15.7206	0.00451311
15.7222	0.00432185
15.7238	0.00413449
15.7255	0.00395097
15.7271	0.00377122
15.7287	0.00359519
15.7303	0.00342667
15.7319	0.00326164
15.7335	0.00310007
15.735	0.00294372
15.7367	0.00279052
15.7383	0.00264465
15.7399	0.00250596
15.7415	0.00237418
15.7432	0.002249
15.7448	0.00213009
15.7464	0.00201713
15.748	0.00190978
15.7497	0.00180447
15.7514	0.00170448
15.7531	0.00160946
15.7547	0.00151911
15.7564	0.00143321
15.7582	0.00134859
15.7599	0.00126886
15.7616	0.00119368
15.7634	0.00112278
15.7652	0.00105255
15.7671	0.000986408
15.7689	0.000924071
15.7707	0.000865264
15.7727	0.00080606
15.7746	0.000750311
15.7766	0.000697764
15.7785	0.000648344
15.7805	0.000602089
15.7826	0.00055414
15.7848	0.000509654
15.787	0.000468346
15.7892	0.000429949
15.7913	0.000394222
15.7935	0.00036094
15.7957	0.000329903
15.7978	0.000300923
15.8	0.000273835
15.8024	0.00024604
15.8051	0.000218348
15.8078	0.000193388
15.8105	0.000171563
15.8131	0.00015247
15.8157	0.000135525
15.8183	0.0001207
15.8209	0.000107709
15.8234	9.61454e-05
15.826	8.58495e-05
15.8285	7.68107e-05
15.831	6.8746e-05
15.8336	6.15491e-05
15.8361	5.51262e-05
15.8386	4.93939e-05
15.8411	4.42778e-05
15.8436	3.97121e-05
15.8462	3.56381e-05
15.8487	3.20033e-05
15.8512	2.87602e-05
15.8537	2.58656e-05
15.8563	2.32367e-05
15.8589	2.0894e-05
15.8614	1.88051e-05
15.864	1.69416e-05
15.8666	1.52468e-05
15.8692	1.37363e-05
15.8718	1.23891e-05
15.8745	1.11864e-05
15.8771	1.01115e-05
15.8797	9.12952e-06
15.8824	8.25244e-06
15.8851	7.46822e-06
15.8878	6.76622e-06
15.8905	6.12198e-06
15.8932	5.54552e-06
15.896	5.02906e-06
15.8987	4.56576e-06
15.9015	4.13821e-06
15.9043	3.75483e-06
15.9072	3.41056e-06
15.91	3.10101e-06
15.9129	2.81354e-06
15.9158	2.55548e-06
15.9187	2.32361e-06
15.9216	2.11508e-06
15.9245	1.92737e-06
15.9275	1.75158e-06
15.9305	1.59369e-06
15.9336	1.45173e-06
15.9366	1.32392e-06
15.9396	1.20867e-06
15.9428	1.09922e-06
15.946	1.0008e-06
15.9491	9.12176e-07
15.9523	8.32273e-07
15.9555	7.60149e-07
15.9587	6.94976e-07
15.9618	6.36019e-07
15.9653	-1e+15
15.9688	-1e+15
15.9723	-1e+15
15.9757	-1e+15
15.9788	-1e+15
15.9818	-1e+15
15.9848	-1e+15
15.9879	-1e+15
15.9909	-1e+15
15.9932	-1e+15
15.9954	-1e+15
15.9977	-1e+15
16	-1e+15
16.0026	-1e+15
16.0054	-1e+15
16.0082	-1e+15
16.011	-1e+15
16.0137	-1e+15
16.0164	-1e+15
16.0191	-1e+15
16.0218	-1e+15
16.0245	-1e+15
16.0271	-1e+15
16.0298	-1e+15
16.0324	-1e+15
16.035	-1e+15
16.0376	-1e+15
16.0402	-1e+15
16.0429	-1e+15
16.0455	-1e+15
16.0481	-1e+15
16.0507	-1e+15
16.0533	-1e+15
16.056	-1e+15
16.0586	-1e+15
16.0612	-1e+15
16.0639	-1e+15
16.0666	-1e+15
16.0693	-1e+15
16.072	-1e+15
16.0748	-1e+15
16.0776	-1e+15
16.0804	-1e+15
16.0833	-1e+15
16.0862	-1e+15
16.0891	-1e+15
16.0921	-1e+15
16.0951	-1e+15
16.0982	-1e+15
16.1013	-1e+15
16.1045	-1e+15
16.1076	-1e+15
16.1108	-1e+15
16.1141	-1e+15
16.1174	-1e+15
16.1209	-1e+15
16.1243	-1e+15
16.1278	-1e+15
16.131	-1e+15
16.1343	-1e+15
16.1376	-1e+15
16.1407	-1e+15
