Time	gauge_0
-1	10
-2	0
-3	0
15.0105	0.017855
15.0145	0.018466
15.0189	0.0191713
15.0238	0.0199706
15.0287	0.0207862
15.033	0.0215131
15.0369	0.0221982
15.0406	0.0228446
15.0442	0.0234686
15.0476	0.0240704
15.0508	0.0246508
15.054	0.0252222
15.0571	0.0257841
15.0601	0.0263361
15.0631	0.0268668
15.0659	0.0273878
15.0687	0.0278994
15.0714	0.0284014
15.0741	0.0288938
15.0767	0.0293766
15.0793	0.0298498
15.0818	0.0303133
15.0843	0.030777
15.0868	0.0312308
15.0893	0.0316847
15.0917	0.0321385
15.0941	0.0325821
15.0965	0.0330156
15.0988	0.0334487
15.1011	0.0338716
15.1034	0.034294
15.1057	0.034706
15.1079	0.0351077
15.1101	0.0355087
15.1122	0.0358993
15.1143	0.0362799
15.1164	0.0366597
15.1184	0.0370296
15.1204	0.0373898
15.1224	0.0377492
15.1243	0.0380988
15.1263	0.0384475
15.1282	0.0387954
15.1301	0.0391331
15.132	0.0394698
15.1338	0.0397963
15.1357	0.0401217
15.1375	0.0404461
15.1393	0.0407601
15.1411	0.041073
15.1429	0.0413849
15.1447	0.0416956
15.1464	0.0420052
15.1482	0.0423037
15.1499	0.042601
15.1516	0.0428972
15.1534	0.0431921
15.1551	0.0434858
15.1568	0.0437782
15.1585	0.0440582
15.1601	0.0443368
15.1618	0.0446142
15.1635	0.0448901
15.165	0.0451527
15.1666	0.0454141
15.1682	0.0456741
15.1698	0.0459327
15.1714	0.04619
15.1729	0.0464324
15.1744	0.0466736
15.1759	0.0469135
15.1774	0.0471521
15.1789	0.0473893
15.1804	0.0476253
15.1818	0.0478431
15.1832	0.0480596
15.1846	0.048275
15.186	0.048489
15.1874	0.0487018
15.1888	0.0489133
15.1902	0.0491234
15.1916	0.0493321
15.193	0.0495395
15.1944	0.0497455
15.1958	0.04995
15.1972	0.0501532
15.1986	0.0503548
15.2	0.0505551
15.2014	0.0507539
15.2028	0.0509499
15.2042	0.0511444
15.2056	0.051336
15.2069	0.0515262
15.2083	0.0517135
15.2097	0.0518993
15.211	0.0520822
15.2124	0.0522637
15.2138	0.0524436
15.2151	0.0526207
15.2165	0.0527963
15.2178	0.052969
15.2191	0.0531402
15.2205	0.0533099
15.2218	0.0534766
15.2231	0.0536418
15.2245	0.0538054
15.2258	0.0539661
15.2271	0.0541253
15.2284	0.0542828
15.2297	0.0544375
15.231	0.0545905
15.2323	0.054742
15.2337	0.0548918
15.235	0.0550399
15.2363	0.0551863
15.2376	0.05533
15.2389	0.055472
15.2402	0.0556122
15.2415	0.0557508
15.2428	0.0558865
15.2441	0.0560205
15.2453	0.0561528
15.2466	0.0562834
15.2479	0.0564111
15.2492	0.0565371
15.2505	0.0566614
15.2517	0.0567828
15.253	0.0569026
15.2543	0.0570205
15.2555	0.0571368
15.2568	0.0572502
15.258	0.0573619
15.2593	0.0574718
15.2605	0.057579
15.2618	0.0576844
15.263	0.0577872
15.2643	0.0578883
15.2655	0.0579877
15.2667	0.0580846
15.2679	0.0581797
15.2692	0.0582731
15.2704	0.058364
15.2716	0.0584531
15.2728	0.0585405
15.274	0.0586252
15.2752	0.0587082
15.2764	0.0587894
15.2776	0.0588689
15.2788	0.0589466
15.28	0.0590218
15.2812	0.0590953
15.2824	0.059167
15.2836	0.0592369
15.2847	0.059305
15.2859	0.0593707
15.2871	0.0594347
15.2883	0.0594969
15.2894	0.0595573
15.2906	0.0596161
15.2918	0.0596725
15.2929	0.0597272
15.2941	0.0597802
15.2953	0.0598315
15.2964	0.0598811
15.2976	0.0599289
15.2988	0.0599751
15.2999	0.0600194
15.3011	0.060062
15.3023	0.0601027
15.3034	0.0601417
15.3046	0.0601788
15.3057	0.060214
15.3069	0.0602475
15.3081	0.0602791
15.3092	0.0603089
15.3104	0.0603369
15.3116	0.0603631
15.3127	0.0603874
15.3139	0.0604099
15.3151	0.0604307
15.3162	0.0604497
15.3174	0.0604669
15.3185	0.0604823
15.3197	0.0604961
15.3208	0.0605083
15.322	0.0605187
15.3231	0.0605275
15.3243	0.0605347
15.3254	0.0605401
15.3265	0.0605438
15.3277	0.0605459
15.3288	0.0605462
15.33	0.0605448
15.3311	0.0605417
15.3323	0.0605368
15.3334	0.0605303
15.3346	0.060522
15.3357	0.0605119
15.3369	0.0605001
15.338	0.0604864
15.3392	0.060471
15.3403	0.0604538
15.3415	0.0604349
15.3426	0.0604141
15.3438	0.0603915
15.3449	0.0603672
15.3461	0.060341
15.3472	0.0603125
15.3484	0.060282
15.3496	0.0602497
15.3507	0.0602156
15.3519	0.0601795
15.3531	0.0601417
15.3543	0.0601019
15.3554	0.0600604
15.3566	0.0600171
15.3578	0.0599719
15.359	0.059925
15.3601	0.0598762
15.3613	0.0598241
15.3625	0.0597701
15.3638	0.0597141
15.365	0.0596563
15.3662	0.0595965
15.3674	0.0595348
15.3686	0.0594711
15.3698	0.0594056
15.371	0.0593381
15.3722	0.0592687
15.3734	0.0591974
15.3747	0.0591207
15.376	0.059042
15.3772	0.0589612
15.3785	0.0588783
15.3797	0.0587935
15.381	0.0587067
15.3823	0.0586179
15.3835	0.0585272
15.3848	0.0584345
15.3861	0.0583398
15.3873	0.0582432
15.3886	0.0581447
15.3899	0.0580442
15.3911	0.0579418
15.3924	0.0578375
15.3937	0.0577313
15.3949	0.0576232
15.3962	0.0575133
15.3975	0.0574014
15.3987	0.0572877
15.4	0.0571721
15.4014	0.0570423
15.4028	0.0569074
15.4043	0.0567691
15.4057	0.0566274
15.4072	0.0564823
15.4086	0.0563336
15.4101	0.0561813
15.4116	0.0560253
15.4131	0.0558655
15.4147	0.0557019
15.4162	0.0555344
15.4177	0.055363
15.4193	0.0551875
15.4209	0.0550078
15.4224	0.054824
15.424	0.0546359
15.4257	0.0544433
15.4273	0.0542463
15.4289	0.0540448
15.4306	0.0538386
15.4323	0.0536276
15.434	0.0534117
15.4357	0.0531909
15.4374	0.0529696
15.439	0.0527502
15.4407	0.0525307
15.4423	0.0523132
15.4439	0.0520956
15.4455	0.051878
15.447	0.0516583
15.4486	0.0514387
15.4502	0.0512172
15.4517	0.0509959
15.4532	0.0507751
15.4547	0.0505547
15.4562	0.0503348
15.4577	0.0501133
15.4592	0.0498924
15.4607	0.0496699
15.4622	0.0494481
15.4636	0.0492248
15.4651	0.049
15.4666	0.0487736
15.468	0.0485483
15.4695	0.0483215
15.4709	0.0480957
15.4723	0.0478686
15.4738	0.04764
15.4752	0.0474127
15.4766	0.0471841
15.478	0.0469541
15.4794	0.0467229
15.4809	0.0464904
15.4823	0.0462566
15.4837	0.0460217
15.4851	0.0457855
15.4865	0.0455481
15.488	0.0453095
15.4894	0.0450697
15.4908	0.0448288
15.4922	0.0445868
15.4936	0.0443406
15.4951	0.0440932
15.4965	0.0438449
15.498	0.0435955
15.4994	0.0433451
15.5008	0.0430937
15.5023	0.0428414
15.5037	0.0425881
15.5051	0.0423339
15.5066	0.0420787
15.508	0.0418226
15.5095	0.0415657
15.5109	0.0413079
15.5123	0.0410493
15.5138	0.0407899
15.5152	0.0405297
15.5166	0.0402688
15.5181	0.0400072
15.5195	0.0397449
15.521	0.0394772
15.5224	0.0392088
15.5239	0.0389398
15.5254	0.0386701
15.5268	0.0383998
15.5283	0.0381289
15.5298	0.0378573
15.5312	0.0375852
15.5327	0.0373125
15.5341	0.0370393
15.5356	0.0367655
15.5371	0.0364913
15.5385	0.0362165
15.54	0.0359413
15.5415	0.0356655
15.5429	0.0353893
15.5444	0.0351126
15.5459	0.0348354
15.5473	0.0345652
15.5487	0.0342946
15.5501	0.0340237
15.5516	0.0337525
15.5529	0.0334888
15.5543	0.0332324
15.5556	0.032976
15.557	0.0327194
15.5583	0.0324705
15.5596	0.0322216
15.5609	0.0319726
15.5622	0.0317235
15.5635	0.0314745
15.5648	0.0312253
15.5661	0.0309762
15.5674	0.0307271
15.5687	0.030478
15.57	0.0302388
15.5712	0.0299998
15.5724	0.0297708
15.5736	0.0295418
15.5748	0.0293229
15.5759	0.0291042
15.5771	0.0288856
15.5782	0.0286671
15.5793	0.0284598
15.5804	0.0282526
15.5815	0.0280456
15.5826	0.0278388
15.5836	0.0276322
15.5847	0.0274258
15.5858	0.0272196
15.5869	0.0270136
15.588	0.0268079
15.5891	0.0266024
15.5902	0.0263971
15.5913	0.0261921
15.5924	0.0259873
15.5935	0.0257827
15.5945	0.0255783
15.5956	0.0253742
15.5967	0.0251704
15.5978	0.0249668
15.5989	0.0247634
15.6	0.0245604
15.6012	0.0243364
15.6024	0.0241101
15.6037	0.0238816
15.6049	0.0236523
15.6062	0.0234223
15.6074	0.0231916
15.6087	0.0229586
15.61	0.0227249
15.6113	0.0224904
15.6126	0.0222551
15.6139	0.022019
15.6152	0.0217804
15.6165	0.0215409
15.6179	0.0213004
15.6192	0.0210608
15.6206	0.020822
15.622	0.0205823
15.6233	0.0203435
15.6247	0.0201057
15.626	0.0198671
15.6274	0.0196297
15.6288	0.0193929
15.6301	0.0191567
15.6315	0.018919
15.6329	0.0186818
15.6343	0.0184449
15.6357	0.0182065
15.6371	0.0179683
15.6385	0.0177304
15.6399	0.0174907
15.6413	0.0172513
15.6427	0.017012
15.6441	0.0167708
15.6455	0.0165297
15.6469	0.0162887
15.6484	0.0160479
15.6498	0.015805
15.6512	0.0155624
15.6526	0.0153203
15.6541	0.0150762
15.6555	0.0148326
15.657	0.0145872
15.6585	0.0143427
15.6599	0.0140992
15.6614	0.0138541
15.6629	0.0136101
15.6644	0.0133646
15.6658	0.01312
15.6673	0.0128738
15.6689	0.0126257
15.6704	0.0123786
15.6719	0.0121296
15.6735	0.0118814
15.675	0.0116312
15.6766	0.0113786
15.6782	0.0111266
15.6798	0.0108709
15.6814	0.0106143
15.683	0.0103541
15.6847	0.0100912
15.6864	0.00982552
15.688	0.00956117
15.6897	0.00929438
15.6914	0.00902521
15.6932	0.00875805
15.6949	0.00848872
15.6967	0.00822177
15.6984	0.00795736
15.7002	0.00769558
15.7019	0.00743707
15.7036	0.00718675
15.7054	0.0069402
15.7071	0.00670191
15.7087	0.00646741
15.7104	0.00624088
15.7121	0.00601798
15.7137	0.00580275
15.7153	0.00559103
15.7169	0.00538697
15.7185	0.00518671
15.7201	0.00499019
15.7217	0.00480128
15.7232	0.00461599
15.7248	0.00443428
15.7264	0.00425611
15.7279	0.00408142
15.7295	0.00391014
15.7311	0.00374224
15.7326	0.00357767
15.7342	0.0034164
15.7358	0.0032584
15.7373	0.00310364
15.7389	0.00295373
15.7405	0.00281007
15.742	0.00267288
15.7436	0.00254203
15.7452	0.00241732
15.7467	0.00229848
15.7484	0.00218187
15.75	0.00207092
15.7516	0.00196534
15.7532	0.00186483
15.7548	0.00176913
15.7564	0.00167793
15.7581	0.00158767
15.7598	0.00150171
15.7615	0.00142007
15.7631	0.0013428
15.7648	0.00126971
15.7666	0.00119713
15.7683	0.00112859
15.7701	0.00106384
15.7718	0.00100262
15.7737	0.000940869
15.7756	0.000882594
15.7775	0.000827557
15.7794	0.000775529
15.7812	0.000726298
15.7833	0.000674532
15.7854	0.000625903
15.7875	0.000580459
15.7896	0.000538058
15.7917	0.000498468
15.7937	0.000461474
15.7958	0.000426877
15.7979	0.000394492
15.8	0.00036415
15.8024	0.000332081
15.805	0.000299115
15.8077	0.000266474
15.8105	0.000237077
15.8133	0.000210881
15.8161	0.000187574
15.8189	0.000166865
15.8216	0.000148754
15.8244	0.000132657
15.8271	0.000118567
15.8298	0.00010602
15.8324	9.5014e-05
15.8351	8.51885e-05
15.8378	7.64151e-05
15.8404	6.85796e-05
15.843	6.16928e-05
15.8456	5.55283e-05
15.8483	5.00098e-05
15.8509	4.50692e-05
15.8535	4.0647e-05
15.8561	3.66885e-05
15.8587	3.32061e-05
15.8613	3.00801e-05
15.8638	2.72726e-05
15.8664	2.47499e-05
15.869	2.24821e-05
15.8715	2.04421e-05
15.8741	1.8606e-05
15.8767	1.69525e-05
15.8792	1.54624e-05
15.8818	1.41183e-05
15.8844	1.29046e-05
15.8869	1.18078e-05
15.8895	1.08156e-05
15.8921	9.91721e-06
15.8947	9.10299e-06
15.8972	8.36442e-06
15.8998	7.69385e-06
15.9024	7.0844e-06
15.9049	6.52987e-06
15.9075	6.02473e-06
15.9101	5.56405e-06
15.9126	5.14344e-06
15.9152	4.75904e-06
15.9179	4.39653e-06
15.9205	4.06547e-06
15.9231	3.77244e-06
15.9256	3.5035e-06
15.9281	3.26454e-06
15.9306	3.04419e-06
15.933	2.84778e-06
15.9354	2.66594e-06
15.9378	2.4975e-06
15.9401	2.34709e-06
15.9424	2.2072e-06
15.9447	2.07702e-06
15.947	1.9558e-06
15.9493	1.84287e-06
15.9516	1.7376e-06
15.9539	1.63942e-06
15.9561	1.5521e-06
15.9583	1.47028e-06
15.9605	1.39357e-06
15.9627	1.32158e-06
15.9649	1.254e-06
15.9671	1.19052e-06
15.9693	1.13085e-06
15.9715	1.07474e-06
15.9737	1.02193e-06
15.9759	9.7222e-07
15.9781	9.25395e-07
15.9802	8.81267e-07
15.9824	8.39649e-07
15.9846	8.00373e-07
15.9868	7.63283e-07
15.989	7.28236e-07
15.9912	6.95098e-07
15.9934	6.63747e-07
15.9956	6.34071e-07
15.9978	6.05964e-07
16	5.79331e-07
16.0024	-1e+15
16.005	-1e+15
16.0075	-1e+15
16.0101	-1e+15
16.0128	-1e+15
16.0155	-1e+15
16.0182	-1e+15
16.0209	-1e+15
16.0237	-1e+15
16.0266	-1e+15
16.0295	-1e+15
16.0324	-1e+15
16.0354	-1e+15
16.0385	-1e+15
16.0417	-1e+15
16.0449	-1e+15
16.0482	-1e+15
16.0516	-1e+15
16.055	-1e+15
16.0584	-1e+15
16.062	-1e+15
16.0655	-1e+15
16.0691	-1e+15
16.0727	-1e+15
16.0762	-1e+15
16.0798	-1e+15
16.0832	-1e+15
16.0866	-1e+15
16.09	-1e+15
16.0932	-1e+15
16.0964	-1e+15
16.0997	-1e+15
16.103	-1e+15
