Time	gauge_0
-1	10
-2	0
-3	0
15.0105	0.017855
15.0145	0.018466
15.0189	0.0191713
15.0238	0.0199706
15.0287	0.0207862
15.033	0.0215131
15.0369	0.0221982
15.0406	0.0228446
15.0442	0.0234686
15.0476	0.0240704
15.0508	0.0246508
15.054	0.0252222
15.0571	0.0257841
15.0601	0.0263361
15.0631	0.0268668
15.0659	0.0273878
15.0687	0.0278994
15.0714	0.0284014
15.0741	0.0288938
15.0767	0.0293766
15.0793	0.0298498
15.0818	0.0303133
15.0843	0.030777
15.0868	0.0312308
15.0893	0.0316847
15.0917	0.0321385
15.0941	0.0325821
15.0965	0.0330156
15.0988	0.0334487
15.1011	0.0338716
15.1034	0.034294
15.1057	0.034706
15.1079	0.0351077
15.1101	0.0355087
15.1122	0.0358993
15.1143	0.0362799
15.1164	0.0366597
15.1184	0.0370296
15.1204	0.0373898
15.1224	0.0377492
15.1243	0.0380988
15.1263	0.0384475
15.1282	0.0387954
15.1301	0.0391331
15.132	0.0394698
15.1338	0.0397963
15.1357	0.0401217
15.1375	0.0404461
15.1393	0.0407601
15.1411	0.041073
15.1429	0.0413849
15.1447	0.0416956
15.1464	0.0420052
15.1482	0.0423037
15.1499	0.042601
15.1516	0.0428972
15.1534	0.0431921
15.1551	0.0434858
15.1568	0.0437783
15.1585	0.0440582
15.1601	0.0443368
15.1618	0.0446142
15.1635	0.0448901
15.165	0.0451527
15.1666	0.0454141
15.1682	0.0456741
15.1698	0.0459327
15.1714	0.04619
15.1729	0.0464324
15.1744	0.0466736
15.1759	0.0469135
15.1774	0.0471521
15.1789	0.0473894
15.1804	0.0476253
15.1818	0.0478431
15.1832	0.0480597
15.1846	0.048275
15.186	0.0484891
15.1874	0.0487018
15.1888	0.0489133
15.1902	0.0491234
15.1916	0.0493322
15.193	0.0495395
15.1944	0.0497455
15.1958	0.0499501
15.1972	0.0501532
15.1986	0.0503549
15.2	0.0505551
15.2014	0.0507539
15.2028	0.0509499
15.2042	0.0511444
15.2056	0.0513361
15.2069	0.0515262
15.2083	0.0517135
15.2097	0.0518993
15.211	0.0520823
15.2124	0.0522637
15.2138	0.0524436
15.2151	0.0526207
15.2165	0.0527963
15.2178	0.0529691
15.2191	0.0531403
15.2205	0.0533099
15.2218	0.0534767
15.2231	0.0536419
15.2245	0.0538054
15.2258	0.0539662
15.2271	0.0541253
15.2284	0.0542828
15.2297	0.0544375
15.231	0.0545906
15.2323	0.054742
15.2337	0.0548918
15.235	0.0550399
15.2363	0.0551864
15.2376	0.05533
15.2389	0.055472
15.2402	0.0556123
15.2415	0.0557509
15.2428	0.0558866
15.2441	0.0560206
15.2453	0.0561529
15.2466	0.0562835
15.2479	0.0564112
15.2492	0.0565372
15.2505	0.0566615
15.2517	0.0567829
15.253	0.0569027
15.2543	0.0570206
15.2555	0.0571369
15.2568	0.0572503
15.258	0.057362
15.2593	0.0574719
15.2605	0.0575791
15.2618	0.0576845
15.263	0.0577873
15.2643	0.0578884
15.2655	0.0579879
15.2667	0.0580847
15.2679	0.0581798
15.2692	0.0582732
15.2704	0.0583641
15.2716	0.0584532
15.2728	0.0585406
15.274	0.0586253
15.2752	0.0587083
15.2764	0.0587896
15.2776	0.058869
15.2788	0.0589467
15.28	0.0590219
15.2812	0.0590954
15.2824	0.0591671
15.2836	0.059237
15.2847	0.0593052
15.2859	0.0593709
15.2871	0.0594348
15.2883	0.059497
15.2894	0.0595575
15.2906	0.0596162
15.2918	0.0596726
15.2929	0.0597273
15.2941	0.0597803
15.2953	0.0598316
15.2964	0.0598812
15.2976	0.0599291
15.2988	0.0599753
15.2999	0.0600196
15.3011	0.0600622
15.3023	0.0601029
15.3034	0.0601418
15.3046	0.060179
15.3057	0.0602142
15.3069	0.0602477
15.3081	0.0602793
15.3092	0.0603091
15.3104	0.0603371
15.3116	0.0603633
15.3127	0.0603876
15.3139	0.0604101
15.3151	0.0604309
15.3162	0.06045
15.3174	0.0604671
15.3185	0.0604826
15.3197	0.0604964
15.3208	0.0605085
15.322	0.060519
15.3231	0.0605278
15.3243	0.0605349
15.3254	0.0605403
15.3265	0.0605441
15.3277	0.0605461
15.3288	0.0605464
15.33	0.060545
15.3311	0.0605419
15.3323	0.0605371
15.3334	0.0605305
15.3346	0.0605222
15.3357	0.0605122
15.3369	0.0605003
15.338	0.0604867
15.3392	0.0604713
15.3403	0.0604541
15.3415	0.0604351
15.3426	0.0604144
15.3438	0.0603918
15.3449	0.0603675
15.3461	0.0603413
15.3472	0.0603128
15.3484	0.0602823
15.3496	0.06025
15.3507	0.0602159
15.3519	0.0601799
15.3531	0.060142
15.3543	0.0601023
15.3554	0.0600607
15.3566	0.0600174
15.3578	0.0599722
15.359	0.0599253
15.3601	0.0598765
15.3613	0.0598244
15.3625	0.0597704
15.3638	0.0597145
15.365	0.0596566
15.3662	0.0595968
15.3674	0.0595351
15.3686	0.0594715
15.3698	0.0594059
15.371	0.0593385
15.3722	0.0592691
15.3734	0.0591978
15.3747	0.0591211
15.376	0.0590423
15.3772	0.0589615
15.3785	0.0588787
15.3797	0.0587939
15.381	0.0587071
15.3823	0.0586183
15.3835	0.0585275
15.3848	0.0584348
15.3861	0.0583402
15.3873	0.0582436
15.3886	0.058145
15.3899	0.0580446
15.3911	0.0579422
15.3924	0.0578379
15.3937	0.0577317
15.3949	0.0576236
15.3962	0.0575136
15.3975	0.0574018
15.3987	0.0572881
15.4	0.0571725
15.4014	0.0570427
15.4028	0.0569078
15.4043	0.0567695
15.4057	0.0566278
15.4072	0.0564826
15.4086	0.0563339
15.4101	0.0561816
15.4116	0.0560256
15.4131	0.0558659
15.4147	0.0557023
15.4162	0.0555348
15.4177	0.0553633
15.4193	0.0551878
15.4209	0.0550082
15.4224	0.0548243
15.424	0.0546362
15.4257	0.0544437
15.4273	0.0542467
15.4289	0.0540451
15.4306	0.0538389
15.4323	0.0536279
15.434	0.053412
15.4357	0.0531912
15.4374	0.0529699
15.439	0.0527505
15.4407	0.0525309
15.4423	0.0523134
15.4439	0.0520958
15.4455	0.0518782
15.447	0.0516585
15.4486	0.0514389
15.4502	0.0512174
15.4517	0.0509961
15.4532	0.0507753
15.4547	0.0505549
15.4562	0.050335
15.4577	0.0501134
15.4592	0.0498925
15.4607	0.04967
15.4622	0.0494482
15.4636	0.0492249
15.4651	0.049
15.4666	0.0487737
15.468	0.0485483
15.4695	0.0483215
15.4709	0.0480957
15.4723	0.0478686
15.4738	0.04764
15.4752	0.0474127
15.4766	0.047184
15.478	0.0469541
15.4794	0.0467228
15.4809	0.0464903
15.4823	0.0462565
15.4837	0.0460215
15.4851	0.0457853
15.4865	0.0455479
15.488	0.0453093
15.4894	0.0450695
15.4908	0.0448286
15.4922	0.0445866
15.4936	0.0443402
15.4951	0.0440929
15.4965	0.0438445
15.498	0.0435951
15.4994	0.0433447
15.5008	0.0430933
15.5023	0.0428409
15.5037	0.0425876
15.5051	0.0423333
15.5066	0.0420781
15.508	0.0418221
15.5095	0.0415651
15.5109	0.0413073
15.5123	0.0410486
15.5138	0.0407892
15.5152	0.040529
15.5166	0.040268
15.5181	0.0400064
15.5195	0.039744
15.521	0.0394763
15.5224	0.0392079
15.5239	0.0389388
15.5254	0.0386691
15.5268	0.0383988
15.5283	0.0381278
15.5298	0.0378563
15.5312	0.0375841
15.5327	0.0373113
15.5341	0.0370381
15.5356	0.0367643
15.5371	0.03649
15.5385	0.0362152
15.54	0.0359399
15.5415	0.0356641
15.5429	0.0353878
15.5444	0.035111
15.5459	0.0348338
15.5473	0.0345636
15.5487	0.034293
15.5501	0.034022
15.5516	0.0337508
15.5529	0.033487
15.5543	0.0332306
15.5556	0.0329741
15.557	0.0327175
15.5583	0.0324686
15.5596	0.0322196
15.5609	0.0319705
15.5622	0.0317214
15.5635	0.0314723
15.5648	0.0312231
15.5661	0.030974
15.5674	0.0307248
15.5687	0.0304756
15.57	0.0302365
15.5712	0.0299974
15.5724	0.0297683
15.5736	0.0295393
15.5748	0.0293204
15.5759	0.0291016
15.5771	0.0288829
15.5782	0.0286645
15.5793	0.0284571
15.5804	0.0282498
15.5815	0.0280428
15.5826	0.0278359
15.5836	0.0276293
15.5847	0.0274228
15.5858	0.0272166
15.5869	0.0270106
15.588	0.0268049
15.5891	0.0265993
15.5902	0.026394
15.5913	0.0261889
15.5924	0.025984
15.5935	0.0257794
15.5945	0.025575
15.5956	0.0253709
15.5967	0.025167
15.5978	0.0249633
15.5989	0.02476
15.6	0.0245569
15.6012	0.0243328
15.6024	0.0241064
15.6037	0.0238779
15.6049	0.0236486
15.6062	0.0234185
15.6074	0.0231877
15.6087	0.0229547
15.61	0.022721
15.6113	0.0224865
15.6126	0.0222511
15.6139	0.022015
15.6152	0.0217763
15.6165	0.0215367
15.6179	0.0212962
15.6192	0.0210566
15.6206	0.0208178
15.622	0.020578
15.6233	0.0203391
15.6247	0.0201012
15.626	0.0198626
15.6274	0.0196252
15.6288	0.0193883
15.6301	0.019152
15.6315	0.0189143
15.6329	0.018677
15.6343	0.0184401
15.6357	0.0182015
15.6371	0.0179633
15.6385	0.0177254
15.6399	0.0174856
15.6413	0.0172461
15.6427	0.0170067
15.6441	0.0167654
15.6455	0.0165243
15.6469	0.0162832
15.6484	0.0160423
15.6498	0.0157993
15.6512	0.0155567
15.6526	0.0153145
15.6541	0.0150704
15.6555	0.0148267
15.657	0.0145812
15.6585	0.0143367
15.6599	0.014093
15.6614	0.0138479
15.6629	0.0136039
15.6644	0.0133582
15.6658	0.0131136
15.6673	0.0128673
15.6689	0.0126192
15.6704	0.012372
15.6719	0.0121229
15.6735	0.0118747
15.675	0.0116243
15.6766	0.0113717
15.6782	0.0111196
15.6798	0.0108638
15.6814	0.010607
15.683	0.0103468
15.6847	0.0100837
15.6864	0.00981801
15.688	0.00955359
15.6897	0.00928673
15.6914	0.0090175
15.6932	0.00875027
15.6949	0.00848089
15.6967	0.0082139
15.6984	0.00794943
15.7002	0.00768762
15.7019	0.0074291
15.7036	0.00717877
15.7054	0.00693222
15.7071	0.00669392
15.7087	0.00645943
15.7104	0.00623291
15.7121	0.00601002
15.7137	0.00579479
15.7153	0.00558311
15.7169	0.00537908
15.7185	0.00517886
15.7201	0.0049824
15.7217	0.00479354
15.7232	0.0046083
15.7248	0.00442664
15.7264	0.00424853
15.7279	0.00407389
15.7295	0.00390267
15.7311	0.00373482
15.7326	0.00357031
15.7342	0.0034091
15.7358	0.00325115
15.7373	0.00309645
15.7389	0.00294669
15.7405	0.00280326
15.742	0.00266631
15.7436	0.00253569
15.7452	0.0024112
15.7467	0.00229259
15.7484	0.00217619
15.75	0.00206545
15.7516	0.00196007
15.7532	0.00185976
15.7548	0.00176423
15.7564	0.00167321
15.7581	0.00158312
15.7598	0.00149732
15.7615	0.00141585
15.7631	0.00133875
15.7648	0.00126582
15.7666	0.0011934
15.7683	0.00112502
15.7701	0.00106042
15.7718	0.000999333
15.7737	0.000937717
15.7756	0.00087957
15.7775	0.000824654
15.7794	0.000772739
15.7812	0.000723615
15.7833	0.00067196
15.7854	0.000623452
15.7875	0.000578138
15.7896	0.000535859
15.7917	0.000496384
15.7937	0.000459498
15.7958	0.000425001
15.7979	0.00039271
15.8	0.000362456
15.8024	0.00033048
15.805	0.000297609
15.8077	0.000265083
15.8105	0.000235811
15.8133	0.000209732
15.8161	0.000186534
15.8189	0.000165924
15.8216	0.000147902
15.8244	0.000131885
15.8271	0.000117868
15.8298	0.000105386
15.8324	9.44386e-05
15.8351	8.4666e-05
15.8378	7.59406e-05
15.8404	6.81486e-05
15.843	6.13007e-05
15.8456	5.51716e-05
15.8483	4.96852e-05
15.8509	4.47738e-05
15.8535	4.0378e-05
15.8561	3.64436e-05
15.8587	3.29827e-05
15.8613	2.98761e-05
15.8638	2.70863e-05
15.8664	2.45798e-05
15.869	2.23266e-05
15.8715	2.02999e-05
15.8741	1.84759e-05
15.8767	1.68334e-05
15.8792	1.53533e-05
15.8818	1.40182e-05
15.8844	1.28128e-05
15.8869	1.17235e-05
15.8895	1.07381e-05
15.8921	9.84594e-06
15.8947	9.03739e-06
15.8972	8.30398e-06
15.8998	7.63812e-06
15.9024	7.03296e-06
15.9049	6.48235e-06
15.9075	5.98079e-06
15.9101	5.52337e-06
15.9126	5.10575e-06
15.9152	4.72409e-06
15.9179	4.36417e-06
15.9205	4.03548e-06
15.9231	3.74456e-06
15.9256	3.47755e-06
15.9281	3.24032e-06
15.9306	3.02156e-06
15.933	2.82658e-06
15.9354	2.64607e-06
15.9378	2.47887e-06
15.9401	2.32957e-06
15.9424	2.19072e-06
15.9447	2.0615e-06
15.947	1.9412e-06
15.9493	1.82911e-06
15.9516	1.72463e-06
15.9539	1.62719e-06
15.9561	1.54053e-06
15.9583	1.45933e-06
15.9605	1.38319e-06
15.9627	1.31175e-06
15.9649	1.24468e-06
15.9671	1.18167e-06
15.9693	1.12245e-06
15.9715	1.06676e-06
15.9737	1.01435e-06
15.9759	9.65016e-07
15.9781	9.18544e-07
15.9802	8.74748e-07
15.9824	8.33443e-07
15.9846	7.94462e-07
15.9868	7.5765e-07
15.989	7.22865e-07
15.9912	6.89975e-07
15.9934	6.58858e-07
15.9956	6.29403e-07
15.9978	6.01506e-07
16	-1e+15
16.0024	-1e+15
16.005	-1e+15
16.0075	-1e+15
16.0101	-1e+15
16.0128	-1e+15
16.0155	-1e+15
16.0182	-1e+15
16.0209	-1e+15
16.0237	-1e+15
16.0266	-1e+15
16.0295	-1e+15
16.0324	-1e+15
16.0354	-1e+15
16.0385	-1e+15
16.0417	-1e+15
16.0449	-1e+15
16.0482	-1e+15
16.0516	-1e+15
16.055	-1e+15
16.0584	-1e+15
16.062	-1e+15
16.0655	-1e+15
16.0691	-1e+15
16.0727	-1e+15
16.0762	-1e+15
16.0798	-1e+15
16.0832	-1e+15
16.0866	-1e+15
16.09	-1e+15
16.0932	-1e+15
16.0964	-1e+15
16.0997	-1e+15
16.103	-1e+15
16.1064	-1e+15
