Time	gauge_0
-1	10
-2	0
-3	0
5.01111	0.00560275
5.0237	0.00580962
5.03726	0.00604172
5.05206	0.0063041
5.06551	0.00655034
5.08045	0.00683092
5.09373	0.00708617
5.10702	0.00734598
5.1203	0.00760961
5.13358	0.00787635
5.14687	0.00814544
5.16015	0.00841613
5.17343	0.00868765
5.18672	0.00895919
5.2	0.00922997
5.21429	0.00951941
5.22857	0.00980612
5.24286	0.0100893
5.25714	0.0103685
5.27143	0.0106432
5.28571	0.0109129
5.3	0.0111761
5.31429	0.0114311
5.32857	0.0116762
5.34286	0.0119097
5.35714	0.0121297
5.37143	0.0123347
5.38571	0.0125231
5.4	0.0126933
5.41429	0.0128439
5.42857	0.0129735
5.44286	0.013081
5.45714	0.0131651
5.47143	0.0132249
5.48571	0.0132605
5.5	0.0132718
5.51429	0.013258
5.52857	0.0132188
5.54286	0.0131511
5.55714	0.0130538
5.57143	0.0129273
5.58571	0.0127715
5.6	0.0125866
5.61429	0.0123729
5.62976	0.0121104
5.64524	0.0118153
5.66071	0.0114883
5.67619	0.011131
5.69167	0.0107454
5.70714	0.0103354
5.72262	0.00990511
5.7381	0.00945933
5.75357	0.00900246
5.76905	0.00853877
5.78452	0.00807071
5.8	0.00760021
5.81538	0.00713188
5.83077	0.00666422
5.84615	0.00619854
5.86154	0.00573589
5.87692	0.00527742
5.89231	0.00482441
5.90769	0.00437817
5.92308	0.00394057
5.93846	0.00352143
5.95385	0.00312595
5.96923	0.00277041
5.98462	0.00245435
6	0.00217354
6.01538	0.00192331
6.03077	0.00169909
6.04615	0.001497
6.06154	0.00131384
6.07538	0.00116357
6.08923	0.00102487
6.10308	0.000896551
6.11692	0.000777676
6.13077	0.000667536
6.14462	0.000567093
6.15846	0.000476838
6.17231	0.00039852
6.18615	0.000333395
6.2	0.000279562
6.21429	0.000233868
6.22857	0.000196575
6.24286	0.000166169
6.25714	0.000141371
6.27143	0.000121124
6.28571	0.000104562
6.3	9.09922e-05
6.31429	7.98557e-05
6.32857	7.07085e-05
6.34286	6.31958e-05
6.35714	5.70341e-05
6.37143	5.19959e-05
6.38095	4.92504e-05
6.39048	4.68691e-05
6.4	4.48159e-05
6.41053	4.28781e-05
6.42167	4.11794e-05
6.43356	3.97331e-05
6.44466	3.87133e-05
6.45575	3.79822e-05
6.46685	3.75323e-05
6.47794	3.74218e-05
6.48904	3.76607e-05
6.49913	3.83169e-05
6.50921	3.94794e-05
6.5193	4.11774e-05
6.52939	4.34743e-05
6.53948	4.64662e-05
6.54956	5.02072e-05
6.55965	5.47696e-05
6.56974	6.02491e-05
6.57983	6.67583e-05
6.58991	7.44238e-05
6.6	8.33875e-05
6.61111	9.48356e-05
6.6216	0.000107538
6.6321	0.000122235
6.64259	0.000139167
6.65309	0.000158747
6.66358	0.000181172
6.67407	0.000206828
6.68457	0.000236287
6.69506	0.000269775
6.70556	0.000307759
6.71605	0.000350777
6.72654	0.000399507
6.73704	0.000457987
6.74753	0.000529135
6.75628	0.000600423
6.76502	0.000688597
6.77377	0.000795235
6.78251	0.000921129
6.79126	0.00106674
6.8	0.00123231
6.80952	0.00143497
6.82011	0.00168733
6.83135	0.00198749
6.84189	0.00230067
6.85243	0.00264515
6.86297	0.00302705
6.87351	0.00345912
6.88405	0.00394246
6.89371	0.00445045
6.90434	0.00508392
6.91497	0.00579019
6.9256	0.00655961
6.9349	0.00727898
6.9442	0.00803496
6.9535	0.00882419
6.9628	0.00964891
6.9721	0.0105094
6.9814	0.0114021
6.9907	0.0123344
7	0.0133048
7.01	0.0143814
7.02	0.0154827
7.03	0.0166001
7.04	0.0177273
7.05	0.0188597
7.06071	0.0200744
7.07066	0.0211985
7.08061	0.0223158
7.09056	0.0234225
7.10051	0.0245145
7.11046	0.0255873
7.12041	0.0266377
7.13036	0.0276632
7.14031	0.028661
7.15026	0.0296282
7.1602	0.0305619
7.17015	0.0314595
7.1801	0.0323183
7.19005	0.0331358
7.2	0.0339091
7.21053	0.0346779
7.22105	0.0353926
7.23099	0.0360151
7.24094	0.0365858
7.25154	0.0371372
7.26214	0.0376268
7.27275	0.0380524
7.28254	0.0383848
7.29233	0.0386588
7.30211	0.0388753
7.3119	0.0390342
7.32169	0.039135
7.33148	0.0391756
7.34127	0.0391609
7.35106	0.0390924
7.36085	0.0389635
7.37063	0.0387699
7.38042	0.0385137
7.39021	0.0381975
7.4	0.0378232
7.41053	0.0373597
7.42105	0.0368335
7.43158	0.0362467
7.44211	0.0356019
7.45263	0.0349014
7.46316	0.0341475
7.47368	0.0333428
7.48421	0.0324902
7.49474	0.0315931
7.50526	0.0306555
7.51579	0.0296811
7.52632	0.0286739
7.53684	0.0276373
7.54737	0.0265732
7.55789	0.0254833
7.56842	0.0243694
7.57895	0.0232343
7.58947	0.0220812
7.6	0.0209141
7.61053	0.01974
7.62105	0.0185633
7.63158	0.0173901
7.64211	0.0162272
7.65263	0.015077
7.66316	0.0139416
7.67368	0.0128233
7.68421	0.0117279
7.69474	0.0106673
7.70526	0.00964659
7.71474	0.00877448
7.72421	0.00795814
7.73368	0.00719303
7.74316	0.00647373
7.75263	0.00579532
7.76211	0.00515407
7.77158	0.00454764
7.78105	0.00398456
7.79053	0.00346694
7.8	0.00299177
7.81	0.002558
7.82	0.00219023
7.83	0.00187706
7.84	0.00160733
7.85	0.00137196
7.86	0.00116404
7.87	0.000978563
7.87929	0.000823862
7.88935	0.000673063
7.89857	0.000552284
7.90779	0.000445508
7.91701	0.00035478
7.92623	0.000282207
7.93545	0.000224665
7.94467	0.000179249
7.95389	0.000143436
7.96312	0.000115183
7.97234	9.28699e-05
7.98156	7.52134e-05
7.99078	6.12048e-05
8	5.00631e-05
8.00952	4.08964e-05
8.01905	3.36143e-05
8.02857	2.78066e-05
8.0381	2.31545e-05
8.04762	1.94108e-05
8.05714	1.63835e-05
8.06607	1.40705e-05
8.075	1.21557e-05
8.08393	1.05628e-05
8.09286	9.23069e-06
8.10179	8.11018e-06
8.11071	7.16206e-06
8.11964	6.35537e-06
8.12857	5.66556e-06
8.1375	5.07288e-06
8.14643	4.5613e-06
8.15536	4.11808e-06
8.16429	3.73269e-06
8.17321	3.39645e-06
8.18214	3.10188e-06
8.19107	2.84285e-06
8.2	2.61429e-06
8.20909	2.40822e-06
8.21818	2.22543e-06
8.22727	2.06277e-06
8.23591	1.92478e-06
8.24503	1.79391e-06
8.25363	1.68307e-06
8.26224	1.58299e-06
8.27143	1.48656e-06
8.28	1.40552e-06
8.28857	1.33205e-06
8.29714	1.26539e-06
8.30571	1.20489e-06
8.31429	1.15e-06
8.32286	1.1002e-06
8.33143	1.05508e-06
8.34	1.01426e-06
8.34857	9.77411e-07
8.35714	9.44259e-07
8.36571	9.14564e-07
8.37429	8.88115e-07
8.38286	8.64738e-07
8.39143	8.44294e-07
8.4	8.26652e-07
8.4087	8.11508e-07
8.41739	7.99087e-07
8.42609	7.89296e-07
8.43478	7.82074e-07
8.44348	7.77472e-07
8.45217	7.74708e-07
8.46087	7.73385e-07
8.46957	7.73549e-07
8.47826	7.73483e-07
8.48696	7.72881e-07
8.49565	7.71894e-07
8.50435	7.70715e-07
8.51304	7.69241e-07
8.52174	7.67287e-07
8.53043	7.64717e-07
8.53913	7.61363e-07
8.54783	7.57003e-07
8.55652	7.51355e-07
8.56522	7.44057e-07
8.57391	7.34648e-07
8.58261	7.22536e-07
8.5913	7.06946e-07
8.6	6.86856e-07
8.6087	6.60939e-07
8.61739	6.2742e-07
8.62609	5.8385e-07
8.63478	-1e+15
8.64348	-1e+15
8.65217	-1e+15
8.66087	-1e+15
8.66957	-1e+15
8.67826	6.97747e-07
8.68696	8.6502e-07
8.69565	1.08732e-06
8.70435	1.36847e-06
8.71304	1.72216e-06
8.72174	2.17471e-06
8.73043	3.37568e-06
8.73913	6.21147e-06
8.74783	1.10724e-05
8.75652	1.97607e-05
8.76522	3.40347e-05
8.77391	5.49159e-05
8.78261	8.33389e-05
8.7913	0.000120253
8.8	0.000166772
8.8087	0.000224113
8.81739	0.000293787
8.82609	0.000382164
8.83478	0.000500163
8.84348	0.000650433
8.85217	0.000842504
8.86087	0.00109466
8.86957	0.00140926
8.87826	0.00178567
8.88696	0.00222287
8.89565	0.00273012
8.90435	0.00333108
8.91304	0.00402199
8.92174	0.00480981
8.93043	0.00573642
8.93913	0.00678718
8.94783	0.00794189
8.95652	0.00919405
8.96522	0.0105368
8.97391	0.0119573
8.98261	0.0134633
8.9913	0.0150586
9	0.0167182
9.0087	0.0184234
9.01739	0.0201606
9.02609	0.0219216
9.03478	0.0236998
9.04348	0.0254881
9.05217	0.0272793
9.06087	0.0290727
9.06957	0.0308655
9.07826	0.032653
9.08696	0.0344323
9.09565	0.0361919
9.10435	0.037931
9.11304	0.0396466
9.12174	0.0413373
9.13043	0.0429964
9.13913	0.0446155
9.14783	0.0461865
9.15652	0.0477082
9.16522	0.0491772
9.17391	0.0505911
9.18261	0.0519435
9.1913	0.0532263
9.2	0.0544312
9.2087	0.0555531
9.21739	0.0565908
9.22609	0.0575425
9.23478	0.0584054
9.24348	0.0591778
9.25217	0.059848
9.26087	0.060413
9.26957	0.060871
9.27826	0.06122
9.28696	0.0614574
9.29565	0.0615768
9.30435	0.0615955
9.31304	0.0615229
9.32174	0.0613547
9.33043	0.0610782
9.33913	0.0606831
9.34783	0.0601757
9.35652	0.0595644
9.36522	0.0588549
9.37391	0.0580512
9.38261	0.0571572
9.3913	0.0561764
9.4	0.0551104
9.40909	0.0539124
9.41818	0.0526315
9.42684	0.0513429
9.43595	0.0499249
9.44507	0.0484464
9.45418	0.0469171
9.46329	0.0453398
9.47241	0.0437216
9.48152	0.0420631
9.49064	0.0403662
9.49975	0.0386381
9.50886	0.0368911
9.51798	0.0351315
9.52709	0.0333651
9.5362	0.0315872
9.54532	0.0297973
9.55443	0.0280062
9.56355	0.0262226
9.57266	0.0244546
9.58177	0.0226993
9.59089	0.0209564
9.6	0.0192341
9.60909	0.017546
9.61818	0.0159006
9.62727	0.0143105
9.63636	0.012777
9.64545	0.0113178
9.65455	0.00993623
9.66364	0.00863688
9.67273	0.00745289
9.68182	0.0063838
9.69091	0.00541002
9.7	0.0045288
9.70909	0.00374717
9.71818	0.0030532
9.72727	0.00245876
9.73636	0.00198192
9.74545	0.00159778
9.75455	0.00128071
9.76364	0.00101293
9.77273	0.000784351
9.78182	0.000594277
9.79091	0.000435305
9.8	0.000306616
9.80952	0.000210916
9.81905	0.000145435
9.82857	0.000101009
9.8381	7.08485e-05
9.84762	5.02541e-05
9.85714	3.60615e-05
9.86667	2.62037e-05
9.87619	1.93106e-05
9.88571	1.44491e-05
9.89524	1.09828e-05
9.90476	8.48229e-06
9.91429	6.65281e-06
9.92381	5.29271e-06
9.93333	4.26545e-06
9.94286	3.47869e-06
9.95238	2.86861e-06
9.9619	2.3897e-06
9.97143	2.00923e-06
9.98095	1.7039e-06
9.99048	1.4565e-06
10	1.25418e-06
10.0095	1.08736e-06
10.019	9.48775e-07
10.0286	8.32836e-07
10.0381	7.35201e-07
10.0476	6.52496e-07
10.0571	5.82035e-07
10.0667	-1e+15
10.0762	-1e+15
10.0857	-1e+15
10.0952	-1e+15
10.1048	-1e+15
10.1143	-1e+15
10.1238	-1e+15
10.1333	-1e+15
10.1429	-1e+15
10.1524	-1e+15
10.1619	-1e+15
10.1714	-1e+15
10.181	-1e+15
10.1905	-1e+15
10.2	-1e+15
10.2095	-1e+15
10.219	-1e+15
10.2286	-1e+15
10.2381	-1e+15
10.2476	-1e+15
10.2571	-1e+15
10.2667	-1e+15
10.2762	-1e+15
10.2857	-1e+15
10.2952	-1e+15
10.3048	-1e+15
10.3143	-1e+15
10.3238	-1e+15
10.3333	-1e+15
10.3429	-1e+15
10.3524	-1e+15
10.3619	-1e+15
10.3714	-1e+15
10.381	-1e+15
10.3905	-1e+15
10.3952	-1e+15
10.4	-1e+15
10.4056	-1e+15
10.412	-1e+15
10.4193	-1e+15
10.4271	-1e+15
10.4358	-1e+15
10.4449	-1e+15
10.454	-1e+15
10.4631	-1e+15
10.4723	-1e+15
10.4814	-1e+15
10.4905	-1e+15
10.4996	-1e+15
10.5088	-1e+15
10.5179	-1e+15
10.527	-1e+15
10.5361	-1e+15
10.5453	-1e+15
10.5544	-1e+15
10.5635	-1e+15
10.5726	-1e+15
10.5818	-1e+15
10.5909	-1e+15
10.6	-1e+15
10.6091	-1e+15
10.6182	-1e+15
10.6273	-1e+15
10.6364	-1e+15
10.6455	-1e+15
10.6545	-1e+15
10.6636	-1e+15
10.6727	-1e+15
10.6818	-1e+15
10.6909	-1e+15
10.7	6.18382e-07
10.7091	8.59591e-07
10.7182	1.19115e-06
10.7273	1.64431e-06
10.7364	2.25352e-06
10.7455	3.0727e-06
10.7545	4.15528e-06
10.7636	5.59828e-06
10.7709	7.57895e-06
10.7782	1.26172e-05
10.7855	2.08542e-05
10.7927	3.35531e-05
10.8	5.37971e-05
10.808	8.68029e-05
10.8167	0.000136952
10.8255	0.000202708
10.8342	0.000287059
10.8429	0.000404942
10.8516	0.000566796
10.8604	0.000773891
10.8691	0.00104418
10.8778	0.00139967
10.8865	0.00184024
10.8953	0.00236461
10.904	0.00299995
10.9127	0.00374764
10.9215	0.00459847
10.9302	0.00559307
10.9389	0.0067426
10.9476	0.00801679
10.9564	0.0094049
10.9651	0.0108852
10.9738	0.0124399
10.9825	0.0140824
10.9913	0.015803
11	0.0175728
11.0087	0.0193685
11.0174	0.0211841
11.0261	0.0230105
11.0348	0.0248434
11.0435	0.0266714
11.0522	0.0284938
11.0609	0.0303109
11.0691	0.0320112
11.0778	0.0338115
11.0859	0.0354702
11.0941	0.0371058
11.1022	0.0387168
11.1104	0.0403039
11.1185	0.0418621
11.1267	0.0433851
11.1348	0.0448641
11.143	0.0462953
11.1511	0.0476795
11.1593	0.0490144
11.1674	0.0502968
11.1756	0.0515227
11.1837	0.0526854
11.1919	0.0537798
11.2	0.0547999
