Time	gauge_0	gauge_1	gauge_2	gauge_3	gauge_4	gauge_5	gauge_6	gauge_7	gauge_8	gauge_9	gauge_10	gauge_11	gauge_12	gauge_13	gauge_14	gauge_15	gauge_16	gauge_17	gauge_18	gauge_19	gauge_20	gauge_21	gauge_22	gauge_23	gauge_24	gauge_25	gauge_26	gauge_27	gauge_28	gauge_29	gauge_30	gauge_31	gauge_32	gauge_33	gauge_34	gauge_35	gauge_36	gauge_37	gauge_38	gauge_39	gauge_40	gauge_41	gauge_42	gauge_43	gauge_44	gauge_45	gauge_46	gauge_47	gauge_48	gauge_49	gauge_50	gauge_51	gauge_52	gauge_53	gauge_54	gauge_55	gauge_56	gauge_57	gauge_58	gauge_59	gauge_60	gauge_61	gauge_62	gauge_63	gauge_64	gauge_65	gauge_66	gauge_67	gauge_68	gauge_69	gauge_70	gauge_71	gauge_72	gauge_73	gauge_74	gauge_75	gauge_76	gauge_77	gauge_78	gauge_79
-1	10	10.1013	10.2025	10.3038	10.4051	10.5063	10.6076	10.7089	10.8101	10.9114	11.0127	11.1139	11.2152	11.3165	11.4177	11.519	11.6203	11.7215	11.8228	11.9241	12.0253	12.1266	12.2278	12.3291	12.4304	12.5316	12.6329	12.7342	12.8354	12.9367	13.038	13.1392	13.2405	13.3418	13.443	13.5443	13.6456	13.7468	13.8481	13.9494	14.0506	14.1519	14.2532	14.3544	14.4557	14.557	14.6582	14.7595	14.8608	14.962	15.0633	15.1646	15.2658	15.3671	15.4684	15.5696	15.6709	15.7722	15.8734	15.9747	16.0759	16.1772	16.2785	16.3797	16.481	16.5823	16.6835	16.7848	16.8861	16.9873	17.0886	17.1899	17.2911	17.3924	17.4937	17.5949	17.6962	17.7975	17.8987	18
-2	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3
-3	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
5.01111	0.0041265	0.00294682	0.00191831	0.00104638	0.000333737	-0.000241455	-0.000669438	-0.000977124	-0.00117837	-0.0012898	-0.00132716	-0.00130567	-0.0012392	-0.00114015	-0.00101944	-0.000885996	-0.000747456	-0.000609976	-0.000477906	-0.000354772	-0.000242978	-0.000143673	-5.75955e-05	1.45205e-05	7.47527e-05	0.000122679	0.000159553	0.00018652	0.000204795	0.000215652	0.00022026	0.000219749	0.000215151	0.000207393	0.000197302	0.000185564	0.000172784	0.00015947	0.000145996	0.000132692	0.000119815	0.000107518	9.59377e-05	8.51652e-05	7.52223e-05	6.61337e-05	5.78979e-05	5.04732e-05	4.38292e-05	3.79244e-05	3.26949e-05	2.80917e-05	2.40625e-05	2.05447e-05	1.74893e-05	1.48483e-05	1.25697e-05	1.06127e-05	8.9391e-06	7.5097e-06	6.29495e-06	5.26369e-06	4.39157e-06	3.65669e-06	3.03788e-06	2.51866e-06	2.08443e-06	1.72145e-06	1.41902e-06	1.16781e-06	9.59196e-07	7.86486e-07	6.43914e-07	5.2622e-07	4.2935e-07	3.49834e-07	2.84552e-07	2.31108e-07	1.87465e-07	1.51817e-07
5.0237	0.00438852	0.00319186	0.0021437	0.00125242	0.000514605	-0.000103062	-0.000563313	-0.000902901	-0.00113382	-0.00126483	-0.00131875	-0.00131145	-0.00125278	-0.00115963	-0.00104231	-0.000909349	-0.000771451	-0.00063416	-0.000501696	-0.00037781	-0.000265002	-0.000164568	-7.73767e-05	-2.07446e-06	6.14422e-05	0.000112926	0.000151861	0.000180587	0.000200444	0.000212731	0.000218686	0.00021956	0.000215795	0.00020873	0.00019899	0.000187522	0.000175001	0.00016188	0.000148525	0.000135272	0.00012239	0.000110043	9.83772e-05	8.74914e-05	7.74148e-05	6.81794e-05	5.97896e-05	5.22081e-05	4.54089e-05	3.93528e-05	3.3978e-05	2.92373e-05	2.508e-05	2.14436e-05	1.82797e-05	1.55403e-05	1.3173e-05	1.11365e-05	9.39233e-06	7.9004e-06	6.63067e-06	5.5512e-06	4.63703e-06	3.86568e-06	3.21527e-06	2.66883e-06	2.21125e-06	1.82825e-06	1.50875e-06	1.24303e-06	1.0221e-06	8.38972e-07	6.87622e-07	5.62536e-07	4.59463e-07	3.74759e-07	3.0514e-07	2.48081e-07	2.01436e-07	1.63294e-07
5.03726	0.00468102	0.00346707	0.00239676	0.00148059	0.000713551	5.20493e-05	-0.000442962	-0.000816822	-0.0010793	-0.00123298	-0.00130624	-0.00131376	-0.00126489	-0.00117915	-0.00106629	-0.000934937	-0.000798302	-0.000661361	-0.000528421	-0.000403715	-0.000289813	-0.000188005	-9.90661e-05	-2.0402e-05	4.64179e-05	0.000101468	0.000142725	0.00017357	0.000195338	0.00020934	0.000216844	0.000219164	0.000216344	0.000210062	0.000200771	0.000189666	0.000177445	0.000164531	0.000151299	0.000138097	0.000125206	0.000112808	0.000101053	9.00483e-05	7.98299e-05	7.04371e-05	6.18809e-05	5.41291e-05	4.71603e-05	4.09383e-05	3.54029e-05	3.05098e-05	2.62098e-05	2.24413e-05	1.91564e-05	1.63073e-05	1.38409e-05	1.17159e-05	9.89302e-06	8.33147e-06	7.00058e-06	5.86753e-06	4.90671e-06	4.09492e-06	3.40956e-06	2.83304e-06	2.34969e-06	1.94465e-06	1.60637e-06	1.32473e-06	1.0903e-06	8.95777e-07	7.34843e-07	6.01701e-07	4.9188e-07	4.01542e-07	3.27223e-07	2.66254e-07	2.16367e-07	1.75537e-07
5.05206	0.00500995	0.00377805	0.00268305	0.00173731	0.000937568	0.000229839	-0.000303809	-0.000715352	-0.00101216	-0.00119187	-0.00128712	-0.00131175	-0.00127494	-0.00119837	-0.00109125	-0.000962722	-0.000828032	-0.000691754	-0.000558415	-0.000432924	-0.000317875	-0.000214453	-0.000123308	-4.10081e-05	2.92104e-05	8.79475e-05	0.000131868	0.000165194	0.000189215	0.000205227	0.000214511	0.000218414	0.000216717	0.00021134	0.000202625	0.000191979	0.000180114	0.000167443	0.000154355	0.000141215	0.000128321	0.000115873	0.000104027	9.28965e-05	8.25258e-05	7.29621e-05	6.42238e-05	5.62845e-05	4.91283e-05	4.27217e-05	3.70068e-05	3.19426e-05	2.74822e-05	2.3565e-05	2.01436e-05	1.71707e-05	1.45926e-05	1.23677e-05	1.04561e-05	8.81599e-06	7.41615e-06	6.22273e-06	5.20936e-06	4.35206e-06	3.62737e-06	3.01702e-06	2.50471e-06	2.07491e-06	1.71556e-06	1.41606e-06	1.1665e-06	9.59212e-07	7.87547e-07	6.4539e-07	5.28022e-07	4.31389e-07	3.51818e-07	2.86485e-07	2.32981e-07	1.89153e-07
5.06551	0.00531692	0.00406979	0.0029526	0.0019787	0.00114869	0.000400537	-0.000169124	-0.00061527	-0.000943312	-0.00114791	-0.00126406	-0.0013054	-0.00128065	-0.00121341	-0.00111238	-0.000987408	-0.000855039	-0.000719717	-0.000586234	-0.000460199	-0.000344187	-0.000239253	-0.000145927	-6.03503e-05	1.27685e-05	7.46952e-05	0.000121159	0.000156872	0.000183067	0.000201017	0.000212002	0.000217375	0.0002168	0.000212288	0.000204185	0.000194012	0.000182506	0.000170081	0.000157143	0.000144071	0.000131185	0.000118702	0.00010678	9.55406e-05	8.50346e-05	7.53169e-05	6.64128e-05	5.83017e-05	5.09728e-05	4.43952e-05	3.85134e-05	3.32895e-05	2.8679e-05	2.46222e-05	2.10728e-05	1.79836e-05	1.53005e-05	1.29816e-05	1.09864e-05	9.27247e-06	7.80772e-06	6.55745e-06	5.49458e-06	4.59441e-06	3.83267e-06	3.19045e-06	2.65086e-06	2.19773e-06	1.81853e-06	1.50218e-06	1.23836e-06	1.01904e-06	8.37263e-07	6.86607e-07	5.62124e-07	4.59553e-07	3.75031e-07	3.0558e-07	2.48664e-07	2.02009e-07
5.08045	0.00566502	0.00440227	0.00326101	0.00225499	0.00139084	0.000599668	-1.10259e-05	-0.000495926	-0.000858672	-0.00109216	-0.00123251	-0.00129324	-0.0012834	-0.00122739	-0.00113406	-0.00101402	-0.000884803	-0.000750938	-0.000617567	-0.00049112	-0.000374134	-0.000267501	-0.000171624	-8.24898e-05	-6.29787e-06	5.90108e-05	0.000108424	0.000146909	0.00017563	0.000195834	0.000208788	0.00021584	0.000216629	0.000213103	0.000205772	0.000196181	0.000185112	0.00017299	0.000160239	0.00014726	0.000134395	0.000121882	0.000109886	9.85314e-05	8.78789e-05	7.79918e-05	6.89035e-05	6.06004e-05	5.30775e-05	4.63071e-05	4.02361e-05	3.48308e-05	3.00494e-05	2.58336e-05	2.2138e-05	1.89159e-05	1.61127e-05	1.36863e-05	1.15955e-05	9.79686e-06	8.2577e-06	6.94225e-06	5.82259e-06	4.87322e-06	4.06893e-06	3.3901e-06	2.81916e-06	2.33922e-06	1.93718e-06	1.60147e-06	1.32123e-06	1.08806e-06	8.94632e-07	7.34185e-07	6.01503e-07	4.92088e-07	4.01854e-07	3.27654e-07	2.668e-07	2.16881e-07
5.09373	0.00597997	0.004705	0.00354317	0.00250853	0.00161351	0.000786167	0.000138052	-0.000381558	-0.00077521	-0.00103557	-0.00119837	-0.00127718	-0.00128218	-0.00123684	-0.00115127	-0.00103657	-0.000910733	-0.000778598	-0.000645655	-0.000519068	-0.000401335	-0.000293217	-0.000194992	-0.000102812	-2.40185e-05	4.41507e-05	9.6296e-05	0.000137341	0.000168401	0.000190699	0.000205477	0.000214068	0.000216167	0.000213566	0.000207007	0.000197992	0.000187352	0.000175531	0.000162972	0.000150096	0.000137265	0.000124741	0.000112687	0.000101238	9.04598e-05	8.04245e-05	7.11734e-05	6.26991e-05	5.50021e-05	4.80579e-05	4.18157e-05	3.62455e-05	3.13086e-05	2.69477e-05	2.31186e-05	1.97748e-05	1.68617e-05	1.43365e-05	1.21579e-05	1.02815e-05	8.67385e-06	7.29836e-06	6.12636e-06	5.13158e-06	4.28801e-06	3.57536e-06	2.97542e-06	2.47067e-06	2.04748e-06	1.69382e-06	1.39837e-06	1.15235e-06	9.48097e-07	7.78552e-07	6.38245e-07	5.22462e-07	4.26912e-07	3.48287e-07	2.83762e-07	2.30797e-07
